epoch,train_loss,valid_mae,valid_r2
1,50.94329050999538,9.907377896837872,-0.32994356890364585
2,8.147627985401519,3.787199606442585,0.784731215766942
3,6.01601439676467,3.616006211100439,0.7406261502249061
4,5.810395553613165,3.287482428341414,0.7996681050417126
5,5.777414145743012,3.3792492759199213,0.7989500284146648
6,5.722193150004005,3.3672399010928458,0.797191615135691
7,5.711166964974373,3.5553351240165694,0.7756263890585121
8,5.756091533952458,3.296163712704743,0.798322414974427
9,5.674320233095983,3.2420198618652147,0.791808510686882
10,5.634703964184803,3.699544064064361,0.7695966421177004
11,5.591170851592046,3.2106037680282653,0.7844482089463052
12,5.539930632159968,3.5075775574229757,0.7489021968374094
13,5.545270688974174,3.3760752628445148,0.7802135603108213
14,5.531975017231741,3.25255324340114,0.7874125448932664
15,5.587526415563692,3.318186512587076,0.7794127143112255
16,5.480675937263829,3.623289406632578,0.7861777579441291
17,5.479653407054342,3.080746495428793,0.7891663352233379
18,5.458754612382051,3.6317080401080375,0.7799890735336866
19,5.47352587341503,3.1236937356204484,0.7872302075747659
20,5.455337096171774,3.229791601657487,0.7901965877103843
21,5.499421754460426,3.4387701922003404,0.7696530965013795
22,5.459460635094127,3.3102569907356623,0.776540138398123
23,5.440964920505596,3.0718187216464177,0.8066142453365105
24,5.423063217454655,3.1802138110112876,0.8011615663447522
25,5.351566548560076,4.018229894036782,0.74779641671769
26,5.381980194407664,3.4550264111919966,0.7893428585316226
27,5.341764714307846,3.701347675308264,0.7872982036229612
28,5.356200576587847,3.338861330737139,0.7716989724902522
29,5.4067255797659515,3.6017946218930526,0.7636477544468616
30,5.293489328615225,3.5549206813620455,0.7725992268600587
31,5.265882874750028,3.5862308267774528,0.7761691548865065
32,5.327409993311402,3.3938128417335505,0.7766075423614436
33,5.216624557592307,3.4096050643007563,0.7703634490176481
34,5.288255415145,3.2742313764043933,0.7743484104186424
35,5.329078167107455,3.3978241732476335,0.8000083709088099
36,5.0664288283913,3.3537683707661183,0.7630167119947914
37,5.069545873411142,3.366511680560405,0.7852045819363332
38,4.9848822059145395,3.011256039856152,0.7976416167129268
39,4.884936196029566,3.0227669680109046,0.7944272638497396
40,4.912975868601708,3.301914178554477,0.7843007151498802
41,4.885147510820134,3.484852732987948,0.7735528279075232
42,4.866573333740234,3.79406052518633,0.727238094921649
43,4.851913868242009,3.4872116955013532,0.7744354641124656
44,4.8586986793833935,3.2079325186568837,0.776827374260789
45,4.85350415053641,3.261874374730627,0.7750605489423361
46,4.831552827434176,3.3359486373633453,0.7817544143938677
47,4.874740876969258,3.7843299296410295,0.7550035747559084
48,4.811835480343764,3.304676988271362,0.7568816074450789
49,4.758349177184378,3.624858856201172,0.7354075063728225
50,4.826318640617808,3.4420343453847972,0.7317432620556292
51,4.791280105615118,3.528869580956145,0.750538215891285
52,4.773008045876861,3.6832323439674957,0.7360852800883995
53,4.782411248820602,3.6471331148079082,0.7397007302616363
54,4.789952393550022,3.654801321524386,0.7222083990934085
55,4.747232544953656,3.539881919349372,0.7481100513376816
56,4.7221614995579815,3.351460232319874,0.7395957163509925
57,4.651214227554904,3.6752288906648456,0.7221236166902331
58,4.657788252374928,3.5212862185259772,0.7415443645032314
59,4.7291736390180645,3.466928722567303,0.7438608467503067
60,4.642806964315427,3.6044443842894727,0.7160429917368488
61,4.594851524207242,4.030716099172046,0.7182801134971332
62,4.604106647953106,3.5013514173953704,0.7597887136604489
63,4.634402587914923,3.294593870401953,0.7555653113340185
64,4.533391132476224,3.7161561542763675,0.7356884495684322
65,4.5238632487643295,3.53075768941893,0.7193104333815454
66,4.576366983401548,3.912796928515362,0.7301107949197129
67,4.554570591373808,3.690112925298863,0.733267816025905
68,4.546737262397815,3.5592570674010306,0.7291850747508002
69,4.55527344630782,3.6053228393518153,0.729733331412116
70,4.565991637053763,4.242650229171668,0.6953669668600595
71,4.531042191632993,3.648781044998839,0.7205918498991375
72,4.499729584736429,4.02537781775521,0.713042351291502
73,4.501827367551767,3.6265156784727397,0.734980887398446
74,4.412540025771803,3.8113431618485754,0.7192961417280062
75,4.438490668679498,3.8398126775706567,0.6645278745645757
76,4.48621130141483,4.457508426614504,0.6679563528142825
77,4.436458955145186,3.752694272271938,0.7044530260068079
78,4.4144507745269,3.6059563439651576,0.7341182368201118
79,4.439241468526755,3.5998118637279806,0.7172506176476552
80,4.381574002041179,3.556679746197018,0.7203534420183448
