epoch,train_recon_loss,valid_recon_loss
1,0.24318917290230466,0.15677345069125295
2,0.05735507104427192,0.12135768788866699
3,0.040884234960291796,0.10682368050329387
4,0.03398110451781826,0.09923726273700595
5,0.029700963609632414,0.0928250512573868
6,0.027152061426810398,0.08939048293977976
7,0.025061850026724446,0.08593340963125229
8,0.023956726530602403,0.0881726433057338
9,0.023078875960248293,0.08589093517512084
10,0.02123177641184087,0.08073593801818787
11,0.02066586879052364,0.08114802381023764
12,0.019440203495798218,0.07902586623094976
13,0.018602822812357145,0.07758821570314467
14,0.017919726580808495,0.07795989788137377
15,0.017701920673583345,0.07661933307535947
16,0.016493282933381332,0.07564505618065595
17,0.016711527825730623,0.07800122238695621
18,0.015668320392442356,0.07602195893414318
19,0.015566848586224447,0.07397560072131455
20,0.014646317756432256,0.07468224451877177
21,0.014550628354120406,0.0743496797978878
22,0.014105709352690702,0.07500764611177146
23,0.014808097089029802,0.07851106035523117
24,0.013951727586567023,0.07465020609088242
25,0.013140160878111793,0.07502387091517448
26,0.013144282508451658,0.07358224093914031
27,0.012926033620906484,0.07965886904858052
28,0.012787197947881784,0.07621545051224529
29,0.01260196107326989,0.07396914423443376
30,0.01192046775464799,0.07578370226547122
31,0.012254719708447053,0.07944532698020339
32,0.011856859472764146,0.07532735839486122
33,0.011710085289161296,0.07562412773258984
34,0.01149368257659256,0.07681879480369389
35,0.011523417440379501,0.07410041624680161
36,0.010888623263520799,0.07602746621705592
37,0.01146903749745173,0.07656385791487992
38,0.011389851359543717,0.07458934597671033
39,0.010355488183629361,0.07660173648037016
40,0.010420508021310827,0.07473277412354946
41,0.00997255113462259,0.0747085832990706
42,0.01060168315792919,0.07665876178070903
43,0.009907800526281072,0.07473124274984003
44,0.010258344372817476,0.07670546881854534
45,0.01039318573382345,0.08061082558706403
46,0.01120369280480845,0.07925559668801725
47,0.009489213157990936,0.07615885487757623
48,0.009640213191082143,0.07770094932056963
49,0.00964385063749305,0.07714769029989839
50,0.009462841086469258,0.07763155749998987
51,0.009692528611345655,0.07821303652599454
52,0.009901954558126296,0.07951360694132745
53,0.009270522648551662,0.07741051381453871
54,0.008988537709970193,0.08051776918582618
55,0.009250826252754897,0.0794601604808122
56,0.00949326705982446,0.07926068948581814
57,0.009607351675724529,0.08118343316018581
58,0.009417522502885124,0.08095212359912693
59,0.008739056139828482,0.08233082280494272
60,0.008733517365755549,0.08183543696068227
61,0.009435974906797812,0.08215542095713317
62,0.008612149715376128,0.08023748123086989
63,0.008722577505050951,0.08123400243930519
64,0.008596410595212772,0.08380933958105743
65,0.008497796279443488,0.08145572463981807
66,0.008990270853825625,0.08183207558467984
67,0.008628626659536247,0.08404995650053024
68,0.008594437727740236,0.08282479639165104
69,0.008545739570288521,0.08357885330915452
70,0.008587319899208037,0.0849872499704361
71,0.00851542262099446,0.08201112383976579
72,0.008257743694884762,0.08229704154655337
73,0.008433706984279832,0.0860488822683692
74,0.00902069196294827,0.08284704321995377
75,0.007986177636939248,0.08333872202783824
76,0.007807268829316281,0.08249584170989692
77,0.007672978191381427,0.08165629203431309
78,0.007837184144267042,0.0830053810030222
79,0.007871751418444001,0.08239132622256876
80,0.008495972702386462,0.08509921478107571
