저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,70.1,20260530,충청남도 논산시,4423010045,28.16
예당(대흥),70.1,20260530,충청남도 예산군,4481010021,21.12
청천,68.1,20260530,충청남도 보령시,4418010052,37.6
삽교호,78.7,20260530,충청남도 당진시,4483090002,1.81
대호호,80.3,20260530,충청남도 서산시,4421090006,-0.82
간월호,101.1,20260530,충청남도 서산시,4421090007,-1.68
