"표준코드","시설명","소재지","착공년도","준공년도","종별","구분","유역면적","홍수면적","만수면적","수혜면적","한발빈도","홍수빈도","제체형식","제체체적","제체길이","제체높이","총저수량","유효저수량","사수량","취수형식","홍수위","만수위","사수위"
"4783010039","인곡","경상북도 고령군 덕곡면 본리리","1958-07-01","1959-12-31","2","보조수원","4","1","0","0","5","100","필댐(죤형)","5653","119","5","8","8","0","사통형","79","78","75"
"4783010042","웃들","경상북도 고령군 덕곡면 예리","1944-06-14","1945-12-31","2","보조수원","1","1","0","0","5","100","필댐(죤형)","6175","130","5","6","6","0","사통형","75","74","74"
"4783010046","사부골","경상북도 고령군 운수면 봉평리","1944-06-02","1945-12-31","2","주수원","92","2","2","9","5","100","필댐(죤형)","4750","100","5","60","60","0","사통형","63","62","58"
"4783010047","새꼬지","경상북도 고령군 운수면 봉평리","1944-06-05","1945-12-31","2","보조수원","13","1","0","8","5","100","필댐(죤형)","1938","57","4","9","9","0","사통형","66","66","64"
"4783010052","노수골","경상북도 고령군 운수면 대평리","1944-05-17","1945-12-31","2","보조수원","192","1","1","0","5","100","필댐(죤형)","5855","170","4","2","2","0","사통형","65","64","63"
"4783010056","뒷개울","경상북도 고령군 운수면 신간리","1944-06-06","1945-12-31","2","보조수원","8","1","1","8","5","100","필댐(죤형)","1800","60","4","18","18","0","사통형","78","77","75"
"4783010059","법동","경상북도 고령군 운수면 법리","1944-06-07","1945-12-31","2","주수원","106","3","2","22","5","100","필댐(죤형)","17760","80","12","62","62","0","사통형","107","106","98"
"4783010061","청용","경상북도 고령군 운수면 법리","1967-06-23","1968-12-31","2","보조수원","40","1","1","4","5","100","필댐(죤형)","5820","194","4","10","10","0","사통형","68","67","65"
"4783010069","거러실","경상북도 고령군 운수면 화암리","1944-06-21","1945-12-31","2","보조수원","32","1","1","9","10","100","필댐(죤형)","7200","120","6","12","10","2","사통형","64","63","60"
"4783010074","신기지","경상북도 고령군 성산면 오곡리","1944-06-01","1945-12-31","2","보조수원","21","0","0","7","5","100","필댐(죤형)","2338","55","5","6","6","0","사통형","42","42","37"
"4783010075","아름다울","경상북도 고령군 성산면 오곡리","1944-07-13","1945-12-31","2","보조수원","20","0","0","3","5","100","필댐(죤형)","1900","40","5","6","6","0","사통형","49","48","45"
"4783010080","용소","경상북도 고령군 성산면 용소리","1944-07-19","1945-12-31","2","주수원","75","6","6","85","5","100","필댐(죤형)","32400","216","10","195","195","0","사통형","51","49","44"
"4783010103","주을","경상북도 고령군 다산면 곽촌리","1944-08-01","1945-12-31","2","보조수원","124","10","10","68","10","200","필댐(죤형)","64125","270","13","253","246","7","사통형","118","117","113"
"4783010108","안심","경상북도 고령군 다산면 월성리","1944-07-04","1945-12-31","2","주수원","16","1","1","8","5","100","필댐(죤형)","3240","90","5","10","10","0","사통형","43","41","39"
"4783010113","아시터","경상북도 고령군 다산면 나정리","1961-06-14","1962-12-31","2","보조수원","18","0","0","6","5","100","필댐(죤형)","3850","68","4","5","5","0","사통형","55","54","53"
"4783010114","불당","경상북도 고령군 다산면 나정리","1964-05-20","1965-01-01","2","보조수원","39","1","0","8","5","100","필댐(죤형)","2913","70","6","17","17","0","사통형","54","53","49"
"4783010120","웃골","경상북도 고령군 다산면 송곡리","1944-07-03","1945-12-31","2","보조수원","59","2","1","18","5","100","필댐(죤형)","3943","83","5","17","17","0","사통형","53","52","49"
