저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,48.4,20260811,충청남도 논산시,4423010045,26.52
예당(대흥),45.8,20260811,충청남도 예산군,4481010021,19.8
청천,51.6,20260811,충청남도 보령시,4418010052,36.01
삽교호,49.9,20260811,충청남도 당진시,4483090002,0.78
대호호,56.4,20260811,충청남도 서산시,4421090006,-1.33
간월호,107.1,20260811,충청남도 서산시,4421090007,-1.57
