시도,시군,시설개수,유역면적(헥타르),수혜면적(헥타르),유효저수량(천세제곱미터),저수율(퍼센트),평년(퍼센트),대비(퍼센트),단계
전남,곡성군,48,12108.1,3798.43,21571.96,89.5,64.2,139.4,정상
전남,구례군,49,29202.7,2802.3,15444.7,79.5,72.8,109.2,정상
전남,고흥군,47,15102.2,4321.5,24321.4,69.1,73.4,94.1,정상
전남,보성군,27,8408.2,3240.4,24066,80.8,79.1,102.1,정상
전남,화순군,43,16785.8,4333.6,30817.2,85.7,66.9,128.1,정상
전남,장흥군,34,10815.8,3492.3,22932.4,70.5,69.5,101.4,정상
전남,강진군,29,12089.5,4212.6,32050.1,76.2,69.5,109.6,정상
전남,해남군,79,16208,6026.7,36263.9,67.3,66.4,101.4,정상
전남,영암군,138,14030.09,1745.9,20625.1,77.7,65.6,118.4,정상
전남,무안군,50,5841.2,802.8,8207.5,79.5,72.2,110.1,정상
전남,함평군,36,11234.8,1888.2,16465,74,66.2,111.8,정상
전남,영광군,42,11709.2,5485.5,27332.87,70,67.5,103.7,정상
전남,장성군,50,25066,12563.2,123717.5,53.1,61.2,86.8,정상
전남,완도군,9,2294.61,517.76,3280.2,65.3,70.6,92.5,정상
전남,진도군,34,7638.88,2385.03,13742.6,69,70.2,98.3,정상
전남,신안군,30,3781,1191.1,7766,80.9,74.4,108.7,정상
경북,포항시,57,36269.7,5754.66,41106.6,84,77.1,108.9,정상
경북,경주시,76,44070.7,7786,69336.9,76.3,72.9,104.7,정상
경북,김천시,8,4996,1064.1,6707.56,88.4,85.1,103.9,정상
경북,안동시,19,5708.9,1166.3,9186.6,65.2,70.7,92.2,정상
경북,구미시,23,9429,2000.2,15534.17,74.5,78.3,95.1,정상
경북,영주시,7,9530,2194.5,14752.5,83.5,78.7,106.1,정상
경북,영천시,94,18734.2,2509.5,23266.4,76.1,77.8,97.8,정상
경북,상주시,29,26575.7,4387.7,30212.7,88.8,75.8,117.2,정상
경북,문경시,15,17018,4893,35401.7,81.4,80.8,100.7,정상
경북,경산시,26,17609,1730.1,18147.3,62.5,70.6,88.5,정상
경북,의성군,54,13587,3074.7,26963.3,61.8,58,106.6,정상
경북,청송군,38,12338,1266.15,12406.6,68.3,56.6,120.7,정상
경북,영양군,26,5297.4,1172.6,8987.5,73.2,75.9,96.4,정상
경북,영덕군,26,13594,2805.6,19887.7,91.9,74.4,123.5,정상
경북,청도군,20,7185,1959.1,16955.4,70,72.9,96,정상
경북,고령군,35,5750,950.98,8388.8,92,60.6,151.8,정상
경북,성주군,7,19487,4058.9,36430.2,78.2,68.8,113.7,정상
경북,칠곡군,33,10637,1402.9,10539.56,84.6,82.8,102.2,정상
경북,예천군,45,6854.4,1137.97,9237.58,82.2,73.3,112.1,정상
경북,봉화군,6,6566,941.6,12391.89,78.7,57,138.1,정상
경북,울진군,7,11247,691.9,6600.1,84.5,73.2,115.4,정상
경북,울릉군,0,0,0,0,0,0,100,정상
경남,창원시,15,13191,2740.7,15876.6,56.6,63.9,88.6,정상
경남,진주시,39,6576.3,2004.2,18913.6,66.3,72.2,91.8,정상
경남,통영시,3,752,162,737.2,73.5,81.4,90.3,정상
경남,사천시,69,12364,2503.1,20878.4,71,77.1,92.1,정상
경남,김해시,6,802,241.8,2290.7,58.2,59.6,97.7,정상
경남,밀양시,39,13223,3000.6,16249.3,61.6,74.2,83,정상
경남,거제시,7,3665,583,2353.1,72.2,79.4,90.9,정상
경남,양산시,3,1553,340.55,970.1,85.3,87,98,정상
경남,의령군,40,8992.3,2034.8,16942.8,79.9,77.3,103.4,정상
경남,함안군,16,5474.3,1319.4,6083.3,80.8,69.5,116.3,정상
경남,창녕군,47,15644.5,2139.6,12318.5,60.5,71.2,85,정상
경남,고성군,36,10576,2945.3,19384.5,66.8,76.2,87.7,정상
