시도,시군,시설개수,유역면적(ha),수혜면적(ha),유효저수량(ha),저수율,평년,대비,단계
전북,완주군,39,42692.2,21965.4,114090.83,88.16,65.08,135.5,정상
전북,진안군,24,6951.6,1109.2,13561.5,83.62,58.97,141.8,정상
전북,무주군,9,8140,1125.1,9146,78.47,67.92,115.5,정상
전북,장수군,34,20060.9,6449.7,66896.8,73.83,71.59,103.1,정상
전북,임실군,35,85114,32708.6,272421.02,99.38,87.8,113.2,정상
전북,순창군,35,16943.8,2608.2,15597.76,83.04,74.24,111.9,정상
전북,고창군,37,20589.5,9034.2,42751.56,91.54,86.62,105.7,정상
전북,부안군,21,5093,5254.1,29661.6,78.85,79.15,99.6,정상
전남,목포시,0,0,0,0,0,0,100,정상
전남,여수시,18,4248,1239.74,6086.61,87.8,85.68,102.5,정상
전남,순천시,20,5610.6,1586.6,7328.46,86.22,88.7,97.2,정상
전남,나주시,162,25746.6,9589.6,123923.33,69.89,62.32,112.1,정상
전남,광양시,10,6248.8,1382.8,6357.26,87.34,95.07,91.9,정상
전남,담양군,47,17382,10353,98414.56,68.35,67.63,101.1,정상
전남,곡성군,49,11970.9,3690.73,21092.88,77.3,67.85,113.9,정상
전남,구례군,49,29202.7,2802.3,15444.66,95.16,85.64,111.1,정상
전남,고흥군,47,15107,4321.5,24321.44,82.66,83.43,99.1,정상
전남,보성군,27,8408.2,3240.4,24066.04,87.85,87.46,100.4,정상
전남,화순군,43,16785.8,4333.6,30817.31,85.74,69.52,123.3,정상
전남,장흥군,34,10815.8,3492.3,22932.38,85.72,78.75,108.9,정상
전남,강진군,29,12089.5,4212.6,32050.19,90.09,75.19,119.8,정상
전남,해남군,79,16208,5977,36263.96,84.48,76,111.2,정상
전남,영암군,139,14977.09,2171.9,23078.82,75.76,74.35,101.9,정상
전남,무안군,50,5841.2,802.8,8207.6,79.44,77.45,102.6,정상
전남,함평군,36,11234.8,1888.2,16465.02,92.61,74.22,124.8,정상
전남,영광군,41,11420.2,5309.5,26869.23,80.26,74.1,108.3,정상
전남,장성군,50,25066,12563.2,123717.51,73.23,68.88,106.3,정상
전남,완도군,9,2294.61,517.76,3280.2,81.04,81.13,99.9,정상
전남,진도군,34,7638.88,2322.73,13742.55,80.61,80.25,100.4,정상
전남,신안군,30,3781,1191.1,7765.71,55.19,77.45,71.3,관심
경북,포항시,58,37974,5776.96,41388.68,86.83,80.6,107.7,정상
경북,경주시,76,44070.7,7786,69337,80.17,73.27,109.4,정상
경북,김천시,8,4996,1064.1,6707.56,87.72,89.79,97.7,정상
경북,안동시,17,4787,951.5,7827.4,96.53,70.83,136.3,정상
경북,구미시,23,9429,2000.2,15533.98,82.02,81.24,101,정상
경북,영주시,7,9530,2194.5,14752.45,93.36,85.24,109.5,정상
경북,영천시,92,17731.2,2009.5,20449.83,84.7,77.21,109.7,정상
경북,상주시,29,26575.7,4387.7,30212.78,94.9,80.76,117.5,정상
경북,문경시,15,17018,4893,35401.7,98.15,92.48,106.1,정상
