"시도","시군","시설개수","유역면적(ha)","수혜면적(ha)","유효저수량(ha)","저수율","평년","대비","단계"
"전북","무주군","9","8140","1125","9146","89.7","57.2","156.8","정상"
"전북","장수군","34","20060","6449","66897","66.9","61.1","109.5","정상"
"전북","임실군","34","84870","32512","271569","99.9","79.1","126.3","정상"
"전북","순창군","35","16875","2608","14204","86","70","122.9","정상"
"전북","고창군","37","20589","9034","42752","82.8","71.3","116.1","정상"
"전북","부안군","21","5093","5254","29662","70.7","69.5","101.7","정상"
"전남","목포시","0","0","0","0","0","0","100","정상"
"전남","여수시","18","4248","1239","6087","93.5","76.6","122.1","정상"
"전남","순천시","20","5610","1586","7329","89.2","76.6","116.4","정상"
"전남","나주시","162","25746","9589","123923","77.9","54","144.3","정상"
"전남","광양시","10","6248","1382","6357","84.9","81.9","103.7","정상"
"전남","담양군","47","17382","10353","98417","62.7","59.5","105.4","정상"
"전남","곡성군","47","9881","2828","15309","93.4","63.8","146.4","정상"
"전남","구례군","49","29202","2802","15486","90.2","70.2","128.5","정상"
"전남","고흥군","46","15068","4095","23392","89.6","70.4","127.3","정상"
"전남","보성군","27","8408","3240","24066","90.6","78.2","115.9","정상"
"전남","화순군","41","15844","4101","28526","89.7","61.9","144.9","정상"
"전남","장흥군","34","10815","3492","22932","90","64.5","139.5","정상"
"전남","강진군","29","12089","4212","31985","97.8","62.8","155.7","정상"
"전남","해남군","79","16208","5977","36264","87.9","63.1","139.3","정상"
"전남","영암군","139","14977","2171","23079","86.9","64.3","135.1","정상"
"전남","무안군","50","5841","802","8208","80","68.4","117","정상"
"전남","함평군","36","11245","1891","16095","92.4","60.2","153.5","정상"
"전남","영광군","41","11390","5309","26775","85.3","61.1","139.6","정상"
"전남","장성군","50","25066","12563","123718","79.8","58.1","137.3","정상"
"전남","완도군","9","2294","517","3280","87.8","67.1","130.8","정상"
"전남","진도군","34","7638","2322","13743","89.7","67.4","133.1","정상"
"전남","신안군","29","3741","1057","6960","83.9","73.6","114","정상"
"경북","포항시","57","37604","5776","41735","85.4","73.9","115.6","정상"
"경북","경주시","76","44070","7786","69277","89.4","66.8","133.8","정상"
"경북","김천시","8","4996","1064","6708","98.5","83.8","117.5","정상"
"경북","안동시","17","4787","951","7827","95.4","64.6","147.7","정상"
"경북","구미시","23","9429","2000","15534","91.4","75.8","120.6","정상"
"경북","영주시","7","9530","2194","14771","93.6","76.2","122.8","정상"
"경북","영천시","92","17731","2009","20450","86.2","72.8","118.4","정상"
"경북","상주시","26","25974","4188","29012","84.7","72","117.6","정상"
"경북","문경시","15","17018","4893","35581","88.7","80.7","109.9","정상"
"경북","경산시","25","18144","1614","17395","82.4","68","121.2","정상"
"경북","군위군","19","3975","626","3611","91.5","79.8","114.7","정상"
"경북","의성군","52","13290","2971","25838","82.8","54.5","151.9","정상"
"경북","청송군","38","15686","1113","13621","77.4","60.1","128.8","정상"
"경북","영양군","25","4729","958","7778","89.9","87.4","102.9","정상"
"경북","영덕군","27","13624","2805","20123","96.8","68.8","140.7","정상"
"경북","청도군","19","5905","1339","8913","94.5","74.7","126.5","정상"
"경북","고령군","37","5755","951","8403","91.4","55.1","165.9","정상"
"경북","성주군","7","19487","4058","36518","75.5","65.2","115.8","정상"
"경북","칠곡군","33","10637","1451","10540","88.2","79.5","110.9","정상"
"경북","예천군","43","6817","1188","9012","94.3","70.4","133.9","정상"
"경북","봉화군","5","6166","817","11926","89.3","45.8","195","정상"
"경북","울진군","6","10167","501","5012","84","63.6","132.1","정상"
"경북","울릉군","0","0","0","0","0","0","100","정상"
"경남","창원시","15","13191","2740","15877","76.5","60.8","125.8","정상"
"경남","진주시","38","6386","1899","17867","93","64.2","144.9","정상"
"경남","통영시","3","752","162","737.2","93.7","77.4","121.1","정상"
"경남","사천시","69","12384","2451","20324","89.2","82.5","108.1","정상"
"경남","김해시","6","802","241","2291","100","51.1","195.7","정상"
"경남","밀양시","38","12853","2762","14527","95","69.2","137.3","정상"
"경남","거제시","7","3665","583","2207","96.5","83.3","115.8","정상"
"경남","양산시","3","1553","340","970.1","100","89.3","112","정상"
"경남","의령군","39","8120","1749","15111","96.1","71.5","134.4","정상"
"경남","함안군","16","5474","1319","6083","96.9","63.7","152.1","정상"
"경남","창녕군","47","15644","2139","12318","78.6","69.5","113.1","정상"
"경남","고성군","36","10576","2945","19385","90.7","71.5","126.9","정상"
"경남","남해군","48","5461","1508","9855","93.8","72.4","129.6","정상"
"경남","하동군","22","11979","4481","41176","80.2","66","121.5","정상"
"경남","산청군","35","16124","1662","17952","90.1","85.6","105.3","정상"
"경남","함양군","13","9760","1886","13512","98.2","56.4","174.1","정상"
"경남","거창군","43","11986","3194","21511","85.8","67","128.1","정상"
"경남","합천군","81","9483","1922","16276","89.4","69.5","128.6","정상"
"제주","제주시","6","107378","600","1606","77.3","56.9","135.9","정상"
"제주","서귀포시","1","9937","400","1050","82.3","81","101.6","정상"
