"시도","시군","시설개수","유역면적(ha)","수혜면적(ha)","유효저수량(ha)","저수율","평년","대비","단계"
"서울","서울시","0","0","0","0","0","0","100","관심"
"부산","부산(군제외)","0","0","0","0","0","0","100","관심"
"부산","기장군","5","1489","236","828.2","97.1","81.8","118.7","관심"
"대구","대구(군제외)","13","21243","221","6521.50","70.3","70","100.4","관심"
"대구","달성군","9","13107","1301","15084","69.3","62.3","111.2","관심"
"인천","인천(군제외)","0","0","0","0","0","0","100","관심"
"인천","강화군","17","13363","5839","29263.10","78","51.6","151.2","관심"
"인천","옹진군","0","0","0","0","0","0","100","관심"
"광주","광주(군제외)","52","4637","254","6083.50","72.5","60.3","120.2","관심"
"대전","대전(군제외)","3","3514","314","4833.30","82.4","71.2","115.7","관심"
"울산","울산(군제외)","8","1393","359","1912.90","86.1","71.6","120.3","관심"
"울산","울주군","77","9387","2216","11522.10","72.9","72.2","101","관심"
"세종","세종시","1","1620","477","4867.90","49.4","57","86.7","관심"
"경기","수원시","1","277","0","299","63.4","63.3","100.2","관심"
"경기","성남시","2","2700","51","1344.60","89.9","76.5","117.5","관심"
"경기","의정부시","0","0","0","0","0","0","100","관심"
"경기","안양시","0","0","0","0","0","0","100","관심"
"경기","부천시","0","0","0","0","0","0","100","관심"
"경기","광명시","0","0","0","0","0","0","100","관심"
"경기","평택시","5","732","106","467","98.3","78.1","125.9","관심"
"경기","동두천시","0","0","0","0","0","0","100","관심"
"경기","안산시","0","0","0","0","0","0","100","관심"
"경기","고양시","0","0","0","0","0","0","100","관심"
"경기","과천시","1","790","100","1092.50","97.6","81.6","119.6","관심"
"경기","구리시","0","0","0","0","0","0","100","관심"
"경기","남양주시","1","1552","328","2435.10","82.5","71.6","115.2","관심"
"경기","오산시","1","410","190","482.8","87.7","55.2","158.9","관심"
"경기","시흥시","5","2200","1017","2715.10","82.5","59.1","139.6","관심"
"경기","군포시","1","1220","365","1165.80","36.7","57.1","64.3","주의"
"경기","의왕시","2","2575","540","3456.30","75.4","64.7","116.5","관심"
"경기","하남시","0","0","0","0","0","0","100","관심"
"경기","용인시","6","17165","4087","36132.70","68","49.9","136.3","관심"
"경기","파주시","6","7206","1140","8267.60","84.2","56.9","148","관심"
"경기","이천시","4","1488","594","1864","68.3","71.4","95.7","관심"
"경기","안성시","18","18577","7440","46785.60","61.8","46.3","133.5","관심"
"경기","김포시","1","86","20","74","72","69","104.3","관심"
"경기","화성시","8","6159","2027","9968.40","72","49.4","145.7","관심"
"경기","광주시","2","1690","331","1183.30","88.6","69.1","128.2","관심"
"경기","양주시","7","1996","953","6425","82.7","44.1","187.5","관심"
"경기","포천시","12","6016","1419","8170.80","85.6","58","147.6","관심"
"경기","여주시","5","1650","434","4474","66.8","51.6","129.5","관심"
"경기","연천군","2","1072","136","1748.40","61.1","54.4","112.3","관심"
"경기","가평군","0","0","0","0","0","0","100","관심"
"경기","양평군","6","3398","488","2272.60","83","54.1","153.4","관심"
"강원","춘천시","7","5403","838","8450","76.9","50.4","152.6","관심"
"강원","원주시","16","18703","1565","11845.10","84.4","58.7","143.8","관심"
"강원","강릉시","11","26163","2431","25255.40","70.6","67.1","105.2","관심"
"강원","동해시","0","0","0","0","0","0","100","관심"
"강원","태백시","0","0","0","0","0","0","100","관심"
"강원","속초시","1","134","0","6.5","64.9","63.1","102.9","관심"
"강원","삼척시","3","2615","178","1330.70","70.7","77.2","91.6","관심"
"강원","홍천군","15","8917","1184","10877.80","71.4","53.6","133.2","관심"
"강원","횡성군","6","2982","488","3452","76.7","59.4","129.1","관심"
"강원","영월군","0","0","0","0","0","0","100","관심"
"강원","평창군","2","2610","272","1138","93.4","86.9","107.5","관심"
"강원","정선군","0","0","0","0","0","0","100","관심"
"강원","철원군","8","15347","4115","33386","75.4","56.2","134.2","관심"
"강원","화천군","0","0","0","0","0","0","100","관심"
"강원","양구군","2","1600","294","2160","77.5","68","114","관심"
"강원","인제군","0","0","0","0","0","0","100","관심"
"강원","고성군","5","6695","1590","11227.60","59.6","56.8","104.9","관심"
"강원","양양군","2","2358","452","2975","87.1","58.4","149.1","관심"
"충북","청주시","16","7979","2278","14126.40","74.1","56.3","131.6","관심"
"충북","충주시","20","11102","2991","22001","75.6","51.8","145.9","관심"
"충북","제천시","16","7642","914","5258.70","76.6","69.5","110.2","관심"
"충북","보은군","17","11802","3212","26867.40","63.9","42.7","149.6","관심"
"충북","옥천군","27","8975","1831","13152.30","62.4","60.3","103.5","관심"
"충북","영동군","18","8054","1148","8350.70","75","56.9","131.8","관심"
"충북","증평군","7","1377","476","3119.70","53.2","36.6","145.4","관심"
"충북","진천군","12","29532","7013","54057.80","55.8","53.4","104.5","관심"
"충북","괴산군","19","7401","2191","14643.50","75","65.2","115","관심"
"충북","음성군","30","11573","4087","31453.40","62.4","52.9","118","관심"
"충북","단양군","1","220","54","209","77.7","69.6","111.6","관심"
"충남","천안시","20","8281","2323","11580.20","70.5","56.7","124.3","관심"
"충남","공주시","12","7962","2272","19350","61.5","48.4","127.1","관심"
"충남","보령시","30","13115","4375","30028.80","69.3","51.3","135.1","관심"
"충남","아산시","18","15448","4906","25788.20","70.7","59.4","119","관심"
"충남","서산시","16","12460","4801","28669.70","78.4","54.5","143.9","관심"
"충남","논산시","26","24564","6407","38123.10","62.1","52.1","119.2","관심"
"충남","계룡시","0","0","0","0","0","0","100","관심"
"충남","당진시","10","6222","1088","5581.70","80.7","70.1","115.1","관심"
"충남","금산군","9","3442","685","5557.20","85.6","57.4","149.1","관심"
"충남","부여군","10","7876","3260","20966.40","75.3","55","136.9","관심"
"충남","서천군","7","9262","5336","25397.50","73.5","53.3","137.9","관심"
"충남","청양군","27","8139","3356","23409.20","64.8","52.8","122.7","관심"
"충남","홍성군","9","7372","1802","10429.20","57.2","54.5","105","관심"
"충남","예산군","13","42846","8654","59873.60","57.6","48.9","117.8","관심"
"충남","태안군","18","4773","1695","8995.20","90.5","65","139.2","관심"
"전북","전주시","6","12716","822","3860.40","72.7","57.1","127.3","관심"
"전북","군산시","25","2117","4682","24287.80","61.8","59.5","103.9","관심"
"전북","익산시","28","4540","1811","6839.40","74.1","59.6","124.3","관심"
"전북","정읍시","28","8901","2924","27425.70","52.7","47.8","110.3","관심"
"전북","남원시","76","8406","2247","15840.70","89","51.8","171.8","관심"
"전북","김제시","23","6219","2066","21042.80","81.1","61","133","관심"
"전북","완주군","39","42692","21978","114090.80","49.4","45.1","109.5","관심"
"전북","진안군","24","6951","1109","13561.50","87.6","40","219","관심"
"전북","무주군","9","8140","1125","9146","88.9","45.8","194.1","관심"
"전북","장수군","34","20061","5787","66896.80","66.9","51.8","129.2","관심"
"전북","임실군","34","84870","33338","271569","65.9","52.5","125.5","관심"
"전북","순창군","35","16797","2391","12402","80.8","64.7","124.9","관심"
"전북","고창군","36","20416","8232","38010.60","70.2","57.2","122.7","관심"
"전북","부안군","22","5128","1576","29674.10","74.7","65.9","113.4","관심"
"전남","목포시","0","0","0","0","0","0","100","관심"
"전남","여수시","18","4248","1239","6086.60","91.5","71.8","127.4","관심"
"전남","순천시","20","5610","1586","7328.50","69","67.1","102.8","관심"
"전남","나주시","162","25746","9589","123923.10","35.8","48","74.6","관심"
"전남","광양시","10","6248","1382","6357.30","83.5","70.4","118.6","관심"
