시도,시군,시설개수,유역면적(ha),수혜면적(ha),유효저수량(ha),저수율,평년,대비,단계검증
전북,완주군,39,42692.2,21965.4,114090.83,69.7,58.2,119.8,정상
전북,진안군,24,6951.6,1109.2,13561.5,76.5,52.5,145.7,정상
전북,무주군,9,8140,1125.1,9146,68.6,60.8,112.8,정상
전북,장수군,34,20060.9,6449.7,66896.8,61.8,63.5,97.3,정상
전북,임실군,35,85114,32708.6,272421.02,64.1,77.2,83,정상
전북,순창군,35,16943.8,2608.2,15597.76,61,64.9,94,정상
전북,고창군,37,20589.5,9034.2,42751.56,68.3,71.6,95.4,정상
전북,부안군,21,5093,5254.1,29661.6,65.1,70,93,정상
전남,목포시,0,0,0,0,0,0,100,정상
전남,여수시,18,4248,1239.74,6086.61,75.3,77.8,96.8,정상
전남,순천시,20,5610.6,1586.6,7328.46,78,77,101.3,정상
전남,나주시,162,25746.6,9589.6,123923.33,52.4,56.5,92.7,정상
전남,광양시,10,6248.8,1382.8,6357.26,71.3,82.9,86,정상
전남,담양군,47,17382,10353,98414.56,49.1,60.7,80.9,정상
전남,곡성군,49,11970.9,3690.73,21092.88,61.8,57.6,107.3,정상
전남,구례군,49,29202.7,2802.3,15444.66,76.1,74.6,102,정상
전남,고흥군,47,15107,4321.5,24321.44,62.5,73,85.6,정상
전남,보성군,27,8408.2,3240.4,24066.04,65.4,79.3,82.5,정상
전남,화순군,43,16785.8,4333.6,30817.31,64.6,61.6,104.9,정상
전남,장흥군,34,10815.8,3492.3,22932.38,63.2,68,92.9,정상
전남,강진군,29,12089.5,4212.6,32050.19,62.1,65.4,95,정상
전남,해남군,79,16208,5977,36263.96,61.6,66.4,92.8,정상
전남,영암군,139,14977.09,2171.9,23078.82,58,65.3,88.8,정상
전남,무안군,50,5841.2,802.8,8207.6,56.8,68.7,82.7,정상
전남,함평군,36,11234.8,1888.2,16465.02,58.9,62.8,93.8,정상
전남,영광군,41,11420.2,5309.5,26869.23,55.7,63.4,87.9,정상
전남,장성군,50,25066,12563.2,123717.51,51.2,60.3,84.9,정상
전남,완도군,9,2294.61,517.76,3280.2,57.1,71.9,79.4,관심
전남,진도군,34,7638.88,2322.73,13742.55,61.4,69.5,88.3,정상
전남,신안군,30,3781,1191.1,7765.71,43.9,69.8,62.9,주의
경북,포항시,58,37974,5776.96,41388.68,67.1,72.4,92.7,정상
경북,경주시,76,44070.7,7786,69337,72.7,66.6,109.2,정상
경북,김천시,8,4996,1064.1,6707.56,74.2,83.5,88.9,정상
경북,안동시,17,4787,951.5,7827.4,74,65.3,113.3,정상
경북,구미시,23,9429,2000.2,15533.98,70.5,75,94,정상
경북,영주시,7,9530,2194.5,14752.45,88.5,77.3,114.5,정상
경북,영천시,92,17731.2,2009.5,20449.83,70.6,73.8,95.7,정상
경북,상주시,29,26575.7,4387.7,30212.78,78.9,70,112.7,정상
경북,문경시,15,17018,4893,35401.7,82.7,78.8,104.9,정상
경북,경산시,27,18451,2114.1,19809.68,63.4,69.7,91,정상
경북,군위군,21,4272.3,754.1,4756.36,69.6,77.1,90.3,정상
경북,의성군,52,13290,2971.7,25837.7,62.7,57.9,108.3,정상
경북,청송군,37,11866,863.15,10520.66,71,53.6,132.5,정상
