sigungu,well_count,groundwater_well_count,drilling_developed_well_count,unknown_well_count,total_pump_capacity,pump_capacity_valid_count,well_depth_sum,well_depth_valid_count,public_like_well_count,record_used_count,source_zip,source_type,year,snapshot_score,avg_pump_capacity,avg_well_depth,well_count_index,pump_capacity_index,well_support_score,well_shortage_score,well_support_level
공주시,23723,23723,0,0,201389.64,5203,701858.2,23723,237,23723,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,38.70644628099174,29.585558318930996,76.71139854486661,25.992226195110213,56.42372960496405,43.57627039503595,보통
보령시,4096,4096,0,0,141848.6,3681,162568.5,4096,321,4096,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,38.535343656615055,39.6895751953125,13.244947453516572,18.3075996196215,15.270008319958544,84.72999168004145,낮음
아산시,2800,2800,0,0,177040.5,2126,184067.9,2800,562,2800,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,83.27398871119473,65.73853571428572,9.054163298302344,22.849619879629405,14.572345930833167,85.42765406916683,낮음
서산시,477,477,0,0,22484.0,477,21919.0,477,4,477,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,47.13626834381552,45.9517819706499,1.5424413904607923,2.901883203976421,2.086218115867044,97.91378188413296,낮음
논산시,18085,18085,0,0,635977.41,18083,509284.7000000002,18085,410,18085,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,35.16990598905049,28.160613768316296,58.48019401778496,82.08202117894618,67.92092488224945,32.07907511775055,높음
계룡시,1709,1709,0,0,41728.57999999989,1709,81617.0,1709,28,1709,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,24.416957284961903,47.7571679344646,5.526273241713824,5.3856727196133285,5.470033032873626,94.52996696712636,낮음
당진시,0,0,0,0,0.0,0,0.0,0,0,0,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,,,0.0,0.0,0.0,100.0,낮음
금산군,15101,15101,0,0,218791.1,5368,407032.9,15101,209,15101,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,40.75840163934426,26.95403615654592,48.83104284559418,28.23813459658092,40.59387954598888,59.40612045401112,보통
부여군,30925,30925,0,0,774807.2000000002,30902,712144.6000000001,30925,425,30925,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,25.07304381593425,23.02811964430073,100.0,100.0,100.0,0.0,매우높음
서천군,4039,4039,0,0,162229.5,4036,135376.5,4039,179,4039,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,40.19561446977205,33.51733102253033,13.060630557801131,20.93804755557253,16.211597356909692,83.78840264309031,낮음
청양군,4110,4110,0,0,189620.6,4039,193783.5,4110,462,4110,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,46.94741272592226,47.1492700729927,13.290218270008085,24.473262509692727,17.76343596588194,82.23656403411806,낮음
