target_sigungu,target_final_water_risk_score,target_final_water_risk_level,target_main_risk_driver,candidate_rank,candidate_reservoir_name,candidate_sigungu,address,distance_km,candidate_reservoir_rate,benefit_area,effective_capacity,distance_score,reservoir_surplus_score,benefit_area_score,candidate_score,recommendation_reason
보령시,28.65925899931384,낮음,대체 수원 접근성 부족도,3,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,44.21211298729547,90.82307692307693,6917.4,46070.2,63.15657251058711,81.64615384615385,99.22540666150272,78.64513451576437,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
보령시,28.65925899931384,낮음,대체 수원 접근성 부족도,4,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,44.21211298729547,90.82307692307693,6917.0,46070.0,63.15657251058711,81.64615384615385,99.2196689330694,78.64370008365604,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
보령시,28.65925899931384,낮음,대체 수원 접근성 부족도,5,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,44.21211298729547,90.82307692307693,6917.0,46070.0,63.15657251058711,81.64615384615385,99.2196689330694,78.64370008365604,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
홍성군,27.77767670795009,낮음,대체 수원 접근성 부족도,1,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,19.07288899473077,90.82307692307693,6971.4,46070.0,84.10592583772436,81.64615384615385,100.0,87.2185241812436,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
홍성군,27.77767670795009,낮음,대체 수원 접근성 부족도,2,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,19.07288899473077,90.82307692307693,6917.4,46070.2,84.10592583772436,81.64615384615385,99.22540666150272,87.02487584661927,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
홍성군,27.77767670795009,낮음,대체 수원 접근성 부족도,3,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,19.07288899473077,90.82307692307693,6917.4,46070.2,84.10592583772436,81.64615384615385,99.22540666150272,87.02487584661927,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
홍성군,27.77767670795009,낮음,대체 수원 접근성 부족도,4,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,19.07288899473077,90.82307692307693,6917.0,46070.0,84.10592583772436,81.64615384615385,99.2196689330694,87.02344141451094,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
홍성군,27.77767670795009,낮음,대체 수원 접근성 부족도,5,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,19.07288899473077,90.82307692307693,6917.0,46070.0,84.10592583772436,81.64615384615385,99.2196689330694,87.02344141451094,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
공주시,27.63335036807564,낮음,관정 의존도,1,탑정,논산시,충청남도 논산시 가야곡면 종연리,28.901250134225005,94.66,5713.3,34940.0,75.91562488814583,89.32,81.9534096451215,82.1166023665387,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
공주시,27.63335036807564,낮음,관정 의존도,2,탑정,논산시,충청남도 논산시 가야곡면 종연리,28.901250134225005,94.66,5713.3,34940.0,75.91562488814583,89.32,81.9534096451215,82.1166023665387,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
공주시,27.63335036807564,낮음,관정 의존도,3,탑정,논산시,충청남도 논산시 부적면 탑정리,28.901250134225005,94.66,5713.0,34940.0,75.91562488814583,89.32,81.94910634879652,82.11552654245746,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
공주시,27.63335036807564,낮음,관정 의존도,4,탑정,논산시,충청남도 논산시 부적면 탑정리,28.901250134225005,94.66,5713.0,34940.0,75.91562488814583,89.32,81.94910634879652,82.11552654245746,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
공주시,27.63335036807564,낮음,관정 의존도,5,탑정,논산시,충청남도 논산시 가야곡면 종연리,28.901250134225005,94.66,5713.0,34940.0,75.91562488814583,89.32,81.94910634879652,82.11552654245746,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
예산군,25.918204251683136,낮음,대체 수원 접근성 부족도,1,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,0.0,90.82307692307693,6971.4,46070.0,100.0,81.64615384615385,100.0,93.57615384615384,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
예산군,25.918204251683136,낮음,대체 수원 접근성 부족도,2,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,0.0,90.82307692307693,6917.4,46070.2,100.0,81.64615384615385,99.22540666150272,93.38250551152953,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
예산군,25.918204251683136,낮음,대체 수원 접근성 부족도,3,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,0.0,90.82307692307693,6917.4,46070.2,100.0,81.64615384615385,99.22540666150272,93.38250551152953,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
예산군,25.918204251683136,낮음,대체 수원 접근성 부족도,4,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,0.0,90.82307692307693,6917.0,46070.0,100.0,81.64615384615385,99.2196689330694,93.38107107942119,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
예산군,25.918204251683136,낮음,대체 수원 접근성 부족도,5,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,0.0,90.82307692307693,6917.0,46070.0,100.0,81.64615384615385,99.2196689330694,93.38107107942119,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
서천군,25.707339741641896,낮음,대체 수원 접근성 부족도,1,동부,서천군,충청남도 서천군 시초면 봉선리,0.0,97.0375,2477.0,10734.0,100.0,94.07499999999999,35.530883323292315,81.80897083082307,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
서천군,25.707339741641896,낮음,대체 수원 접근성 부족도,2,동부,서천군,충청남도 서천군 시초면 봉선리,0.0,97.0375,2477.0,10734.0,100.0,94.07499999999999,35.530883323292315,81.80897083082307,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
서천군,25.707339741641896,낮음,대체 수원 접근성 부족도,3,동부,서천군,충청남도 서천군 시초면 봉선리,0.0,97.0375,2477.0,10734.0,100.0,94.07499999999999,35.530883323292315,81.80897083082307,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
서천군,25.707339741641896,낮음,대체 수원 접근성 부족도,4,동부,서천군,충청남도 서천군 마산면 이사리,0.0,97.0375,2477.0,10733.8,100.0,94.07499999999999,35.530883323292315,81.80897083082307,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
서천군,25.707339741641896,낮음,대체 수원 접근성 부족도,5,동부,서천군,충청남도 서천군 마산면 이사리,0.0,97.0375,2477.0,10733.8,100.0,94.07499999999999,35.530883323292315,81.80897083082307,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
아산시,25.42061510730572,낮음,대체 수원 접근성 부족도,1,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,18.14249787326767,90.82307692307693,6971.4,46070.0,84.88125177227694,81.64615384615385,100.0,87.52865455506462,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
아산시,25.42061510730572,낮음,대체 수원 접근성 부족도,2,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,18.14249787326767,90.82307692307693,6917.4,46070.2,84.88125177227694,81.64615384615385,99.22540666150272,87.3350062204403,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
아산시,25.42061510730572,낮음,대체 수원 접근성 부족도,3,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,18.14249787326767,90.82307692307693,6917.4,46070.2,84.88125177227694,81.64615384615385,99.22540666150272,87.3350062204403,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
아산시,25.42061510730572,낮음,대체 수원 접근성 부족도,4,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,18.14249787326767,90.82307692307693,6917.0,46070.0,84.88125177227694,81.64615384615385,99.2196689330694,87.33357178833197,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
아산시,25.42061510730572,낮음,대체 수원 접근성 부족도,5,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,18.14249787326767,90.82307692307693,6917.0,46070.0,84.88125177227694,81.64615384615385,99.2196689330694,87.33357178833197,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
계룡시,25.10829933716836,낮음,대체 수원 접근성 부족도,1,탑정,논산시,충청남도 논산시 가야곡면 종연리,16.59631780202294,94.66,5713.3,34940.0,86.16973516498088,89.32,81.9534096451215,86.21824647727273,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
계룡시,25.10829933716836,낮음,대체 수원 접근성 부족도,2,탑정,논산시,충청남도 논산시 가야곡면 종연리,16.59631780202294,94.66,5713.3,34940.0,86.16973516498088,89.32,81.9534096451215,86.21824647727273,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
계룡시,25.10829933716836,낮음,대체 수원 접근성 부족도,3,탑정,논산시,충청남도 논산시 부적면 탑정리,16.59631780202294,94.66,5713.0,34940.0,86.16973516498088,89.32,81.94910634879652,86.21717065319149,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
계룡시,25.10829933716836,낮음,대체 수원 접근성 부족도,4,탑정,논산시,충청남도 논산시 부적면 탑정리,16.59631780202294,94.66,5713.0,34940.0,86.16973516498088,89.32,81.94910634879652,86.21717065319149,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
계룡시,25.10829933716836,낮음,대체 수원 접근성 부족도,5,탑정,논산시,충청남도 논산시 가야곡면 종연리,16.59631780202294,94.66,5713.0,34940.0,86.16973516498088,89.32,81.94910634879652,86.21717065319149,근거리 / 저수율 여유 높음 / 수혜면적 정보 보유
태안군,23.799270173711136,낮음,대체 수원 접근성 부족도,1,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,49.599477189604954,90.82307692307693,6971.4,46070.0,58.66710234199587,81.64615384615385,100.0,77.04299478295219,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
태안군,23.799270173711136,낮음,대체 수원 접근성 부족도,2,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,49.599477189604954,90.82307692307693,6917.4,46070.2,58.66710234199587,81.64615384615385,99.22540666150272,76.84934644832788,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
태안군,23.799270173711136,낮음,대체 수원 접근성 부족도,3,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,49.599477189604954,90.82307692307693,6917.4,46070.2,58.66710234199587,81.64615384615385,99.22540666150272,76.84934644832788,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
태안군,23.799270173711136,낮음,대체 수원 접근성 부족도,4,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,49.599477189604954,90.82307692307693,6917.0,46070.0,58.66710234199587,81.64615384615385,99.2196689330694,76.84791201621954,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
태안군,23.799270173711136,낮음,대체 수원 접근성 부족도,5,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,49.599477189604954,90.82307692307693,6917.0,46070.0,58.66710234199587,81.64615384615385,99.2196689330694,76.84791201621954,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
천안시,21.24106528869609,낮음,대체 수원 접근성 부족도,1,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,27.818612968614637,90.82307692307693,6971.4,46070.0,76.81782252615447,81.64615384615385,100.0,84.30328285661564,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
천안시,21.24106528869609,낮음,대체 수원 접근성 부족도,2,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,27.818612968614637,90.82307692307693,6917.4,46070.2,76.81782252615447,81.64615384615385,99.22540666150272,84.10963452199132,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
천안시,21.24106528869609,낮음,대체 수원 접근성 부족도,3,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,27.818612968614637,90.82307692307693,6917.4,46070.2,76.81782252615447,81.64615384615385,99.22540666150272,84.10963452199132,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
천안시,21.24106528869609,낮음,대체 수원 접근성 부족도,4,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,27.818612968614637,90.82307692307693,6917.0,46070.0,76.81782252615447,81.64615384615385,99.2196689330694,84.10820008988298,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
천안시,21.24106528869609,낮음,대체 수원 접근성 부족도,5,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,27.818612968614637,90.82307692307693,6917.0,46070.0,76.81782252615447,81.64615384615385,99.2196689330694,84.10820008988298,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
청양군,19.21760867292617,낮음,대체 수원 접근성 부족도,1,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,25.209047962497554,90.82307692307693,6971.4,46070.0,78.99246003125204,81.64615384615385,100.0,85.17313785865466,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
청양군,19.21760867292617,낮음,대체 수원 접근성 부족도,2,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,25.209047962497554,90.82307692307693,6917.4,46070.2,78.99246003125204,81.64615384615385,99.22540666150272,84.97948952403034,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
청양군,19.21760867292617,낮음,대체 수원 접근성 부족도,3,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,25.209047962497554,90.82307692307693,6917.4,46070.2,78.99246003125204,81.64615384615385,99.22540666150272,84.97948952403034,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
청양군,19.21760867292617,낮음,대체 수원 접근성 부족도,4,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,25.209047962497554,90.82307692307693,6917.0,46070.0,78.99246003125204,81.64615384615385,99.2196689330694,84.97805509192202,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
청양군,19.21760867292617,낮음,대체 수원 접근성 부족도,5,예당(대흥),예산군,충청남도 예산군 응봉면 입침리,25.209047962497554,90.82307692307693,6917.0,46070.0,78.99246003125204,81.64615384615385,99.2196689330694,84.97805509192202,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
금산군,19.204248734570253,낮음,대체 수원 접근성 부족도,1,탑정,논산시,충청남도 논산시 가야곡면 종연리,36.02031577818712,94.66,5713.3,34940.0,69.98307018484407,89.32,81.9534096451215,79.743580485218,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
금산군,19.204248734570253,낮음,대체 수원 접근성 부족도,2,탑정,논산시,충청남도 논산시 가야곡면 종연리,36.02031577818712,94.66,5713.3,34940.0,69.98307018484407,89.32,81.9534096451215,79.743580485218,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
금산군,19.204248734570253,낮음,대체 수원 접근성 부족도,3,탑정,논산시,충청남도 논산시 부적면 탑정리,36.02031577818712,94.66,5713.0,34940.0,69.98307018484407,89.32,81.94910634879652,79.74250466113676,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
금산군,19.204248734570253,낮음,대체 수원 접근성 부족도,4,탑정,논산시,충청남도 논산시 부적면 탑정리,36.02031577818712,94.66,5713.0,34940.0,69.98307018484407,89.32,81.94910634879652,79.74250466113676,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
금산군,19.204248734570253,낮음,대체 수원 접근성 부족도,5,탑정,논산시,충청남도 논산시 가야곡면 종연리,36.02031577818712,94.66,5713.0,34940.0,69.98307018484407,89.32,81.94910634879652,79.74250466113676,중거리 / 저수율 여유 높음 / 수혜면적 정보 보유
