rain_shortage_rank,sigungu,weather_start_date,weather_end_date,station_count,rainfall_30d,rain_days_30d,avg_temperature_30d,avg_humidity_30d,avg_wind_speed_30d,rainfall_7d,rain_days_7d,latest_rain_shortage_score,weather_data_status
1,서산시,2026-08-03,2026-09-02,1,235.3,14,27.09333333333333,77.71935483870968,1.2483870967741937,135.9,6,100.0,ASOS_AUTO
2,천안시,2026-08-03,2026-09-02,1,242.4,13,26.47,80.80645161290323,0.8709677419354839,102.8,6,93.99830938292476,ASOS_AUTO
3,보령시,2026-08-03,2026-09-02,1,248.9,12,27.956666666666667,75.04516129032258,1.2677419354838708,199.0,6,88.50380388841927,ASOS_AUTO
4,금산군,2026-08-03,2026-09-02,1,253.1,14,26.876666666666665,77.9258064516129,0.567741935483871,206.2,5,84.95350803043111,ASOS_AUTO
5,부여군,2026-08-03,2026-09-02,1,286.2,12,27.176666666666662,78.63225806451612,0.4806451612903226,200.3,5,56.9737954353339,ASOS_AUTO
6,홍성군,2026-08-03,2026-09-02,1,353.6,13,27.296666666666667,77.98387096774194,1.1774193548387095,262.9,6,0.0,ASOS_AUTO
