sigungu,year,rice_area,rice_yield_10a,rice_production,rice_area_index,rice_production_index,rice_productivity_index
계룡시,2025,100.0,539.0,541.0,0.0,0.0,30.23255813953488
공주시,2025,5949.0,533.0,31707.0,31.38212254533748,27.900023275383596,23.25581395348837
금산군,2025,1531.0,513.0,7857.0,7.677862431591373,6.549334861153384,0.0
논산시,2025,10418.0,539.0,56164.0,55.360017169224164,49.79410237587954,30.23255813953488
당진시,2025,18738.0,599.0,112247.0,100.0,100.0,100.0
보령시,2025,8218.0,551.0,45261.0,43.5561755553171,40.033659785508384,44.18604651162791
부여군,2025,9427.0,536.0,50544.0,50.04292306041421,44.76303869084919,26.744186046511626
서산시,2025,16391.0,544.0,89191.0,87.40744715098187,79.36010599251607,36.04651162790697
서천군,2025,9213.0,551.0,50778.0,48.894731194334156,44.97251714321522,44.18604651162791
아산시,2025,9000.0,545.0,49062.0,47.75190471080588,43.436341825864325,37.2093023255814
예산군,2025,9678.0,566.0,54780.0,51.38963408090997,48.55513580291122,61.627906976744185
천안시,2025,5330.0,517.0,27578.0,28.060950745788176,24.20371331889066,4.651162790697675
청양군,2025,4628.0,558.0,25818.0,24.29445219444146,22.62814889083845,52.32558139534884
태안군,2025,8105.0,553.0,44850.0,42.94988732696641,39.66572968327574,46.51162790697674
홍성군,2025,8541.0,555.0,47426.0,45.289194119540724,41.97178307342489,48.837209302325576
