date,sigungu,avg_reservoir_rate,min_reservoir_rate,max_reservoir_rate,reservoir_count,low_reservoir_count_40,low_reservoir_count_30,total_effective_capacity,reservoir_risk_score,risk_level_by_reservoir
2021-01-04,홍성군,96.64444444444445,87.5,100.0,9,0,0,10429.0,3.3555555555555543,낮음
2021-01-05,공주시,93.48333333333333,63.8,100.0,12,0,0,19351.0,6.516666666666666,낮음
2021-01-05,금산군,67.47777777777777,0.0,100.0,9,2,2,5557.0,32.522222222222226,낮음
2021-01-05,논산시,91.57692307692308,79.0,100.0,26,0,0,38123.0,8.42307692307692,낮음
2021-01-05,당진시,75.63,16.0,100.0,10,1,1,5582.0,24.370000000000005,낮음
2021-01-05,보령시,88.28333333333333,39.5,100.0,30,1,0,30030.0,11.716666666666669,낮음
2021-01-05,부여군,94.0,81.4,100.0,10,0,0,20966.0,6.0,낮음
2021-01-05,서산시,91.43125,71.4,100.0,16,0,0,28672.0,8.568749999999994,낮음
2021-01-05,서천군,94.84285714285714,67.1,100.0,7,0,0,25398.0,5.157142857142858,낮음
2021-01-05,아산시,98.65555555555555,90.5,100.0,18,0,0,25790.0,1.3444444444444485,낮음
2021-01-05,예산군,94.27692307692307,81.7,100.0,13,0,0,59875.0,5.723076923076931,낮음
2021-01-05,천안시,85.96000000000001,31.0,100.0,20,1,0,11580.0,14.039999999999992,낮음
2021-01-05,청양군,97.97777777777777,82.1,100.0,27,0,0,23414.0,2.0222222222222257,낮음
2021-01-05,태안군,90.67222222222222,73.8,100.0,18,0,0,8997.0,9.327777777777783,낮음
2021-01-05,홍성군,96.65555555555555,87.5,100.0,9,0,0,10429.0,3.3444444444444485,낮음
2021-01-06,공주시,93.53333333333335,63.8,100.0,12,0,0,19351.0,6.466666666666654,낮음
2021-01-06,금산군,67.44444444444444,0.0,100.0,9,2,2,5557.0,32.55555555555556,낮음
2021-01-06,논산시,91.63846153846154,80.5,100.0,26,0,0,38123.0,8.361538461538458,낮음
2021-01-06,당진시,75.66,16.0,100.0,10,1,1,5582.0,24.340000000000003,낮음
2021-01-06,보령시,88.33,39.5,100.0,30,1,0,30030.0,11.670000000000002,낮음
