date,sigungu,drought_stage_score,avg_reservoir_rate_from_drought,avg_normal_rate,avg_normal_ratio,normal_ratio_deficit_score,avg_rainfall,record_count,reservoir_rate_risk_from_drought,weather_drought_risk_score,weather_drought_level
2022-07-01,금산군,0,,,,,,1,,0.0,낮음
2022-07-01,논산시,0,,,,,,1,,0.0,낮음
2022-07-01,당진시,0,,,,,,1,,0.0,낮음
2022-07-01,보령시,0,,,,,,1,,0.0,낮음
2022-07-01,부여군,0,,,,,,1,,0.0,낮음
2022-07-01,서산시,0,,,,,,1,,0.0,낮음
2022-07-01,서천군,0,,,,,,1,,0.0,낮음
2022-07-01,아산시,0,,,,,,1,,0.0,낮음
2022-07-01,예산군,0,,,,,,1,,0.0,낮음
2022-07-01,천안시,0,,,,,,1,,0.0,낮음
2022-07-01,청양군,0,,,,,,1,,0.0,낮음
2022-07-01,태안군,0,,,,,,1,,0.0,낮음
2022-07-01,홍성군,0,,,,,,1,,0.0,낮음
2022-08-02,계룡시,0,,,,,,1,,0.0,낮음
2022-08-02,공주시,0,,,,,,1,,0.0,낮음
2022-08-02,금산군,0,,,,,,1,,0.0,낮음
2022-08-02,논산시,0,,,,,,1,,0.0,낮음
2022-08-02,당진시,0,,,,,,1,,0.0,낮음
2022-08-02,보령시,0,,,,,,1,,0.0,낮음
2022-08-02,부여군,0,,,,,,1,,0.0,낮음
2022-08-02,서산시,0,,,,,,1,,0.0,낮음
2022-08-02,서천군,0,,,,,,1,,0.0,낮음
2022-08-02,아산시,0,,,,,,1,,0.0,낮음
2022-08-02,예산군,0,,,,,,1,,0.0,낮음
2022-08-02,천안시,0,,,,,,1,,0.0,낮음
2022-08-02,청양군,0,,,,,,1,,0.0,낮음
2022-08-02,태안군,0,,,,,,1,,0.0,낮음
2022-08-02,홍성군,0,,,,,,1,,0.0,낮음
2022-09-11,계룡시,0,,,,,,1,,0.0,낮음
2022-09-11,공주시,0,,,,,,1,,0.0,낮음
2022-09-11,금산군,0,,,,,,1,,0.0,낮음
2022-09-11,논산시,0,,,,,,1,,0.0,낮음
2022-09-11,당진시,0,,,,,,1,,0.0,낮음
