sigungu,base_date,current_avg_reservoir_rate,reconstruction_error,autoencoder_anomaly_score,autoencoder_anomaly_level
당진시,2025-12-24,72.33333333333333,0.11871922016143799,100.0,심각
보령시,2025-12-24,86.23666666666666,0.10524198412895203,88.27324033349852,심각
청양군,2025-12-24,98.675,0.06647524237632751,54.541675308551746,주의
서산시,2025-12-24,76.26777777777778,0.06598564237356186,54.11566647771195,주의
서천군,2025-12-24,95.8375,0.056032150983810425,45.45497365547036,주의
논산시,2025-12-24,94.452,0.03833151236176491,30.053363520871127,낮음
천안시,2025-12-24,89.015,0.03017474338412285,22.956027744795108,낮음
태안군,2025-12-24,90.52105263157895,0.020288435742259026,14.353792581310389,낮음
공주시,2025-12-24,88.075,0.01968911848962307,13.832317008076442,낮음
부여군,2025-12-24,90.03636363636363,0.012778826989233494,7.819561317280028,낮음
아산시,2025-12-24,95.745,0.012640230357646942,7.698966160729791,낮음
예산군,2025-12-24,90.55384615384617,0.005047377198934555,1.0923026014782518,낮음
금산군,2025-12-24,86.37777777777778,0.0038327262736856937,0.03541531058618386,낮음
홍성군,2025-12-24,83.8111111111111,0.00379202445037663,0.0,낮음
