sigungu,facility_priority_rank,facility_priority_level,facility_name,address,benefit_area,effective_capacity,total_capacity,basin_area,full_water_area,reservoir_latest_date,sigungu_avg_reservoir_rate,sigungu_min_reservoir_rate,sigungu_reservoir_risk_score,sigungu_final_water_risk_score,sigungu_final_water_risk_level,benefit_area_rank_score,effective_capacity_rank_score,total_capacity_rank_score,facility_scale_score,inspection_priority_score,facility_priority_reason,reservoir_status_note,source_file
금산군,2,상,동곡,충청남도 금산군 제원면 동곡리,124.0,826.0,848.0,450.0,9.0,2025-12-31,86.55555555555556,72.7,13.444444444444445,19.204248734570253,낮음,88.88888888888889,77.77777777777779,77.77777777777779,82.77777777777779,55.04444444444445,수혜면적 상위 시설 / 시·군 저수율 위험도 반영,시설 규모 기반 우선순위,농업기반시설_저수지_2021_v3.csv
금산군,3,중,신동,충청남도 금산군 남일면 신동리,60.0,1881.0,1887.0,670.0,20.0,2025-12-31,86.55555555555556,72.7,13.444444444444445,19.204248734570253,낮음,33.33333333333333,100.0,100.0,70.0,47.37777777777778,유효저수량 상위 시설 / 총저수량 상위 시설 / 시·군 저수율 위험도 반영,시설 규모 기반 우선순위,농업기반시설_저수지_2021_v3.csv
금산군,4,중,숭암,충청남도 금산군 추부면 장대리,95.4,414.3,437.5,358.0,10.4,2025-12-31,86.55555555555556,72.7,13.444444444444445,19.204248734570253,낮음,77.77777777777779,55.55555555555556,55.55555555555556,65.55555555555556,44.711111111111116,시·군 저수율 위험도 반영,시설 규모 기반 우선순위,한국농어촌공사_농업기반시설 시설제원_저수지_20250925.csv
금산군,5,하,청림,충청남도 금산군 진산면 행정리,85.3,679.2,690.5,480.0,9.83,2025-12-31,86.55555555555556,72.7,13.444444444444445,19.204248734570253,낮음,44.44444444444444,66.66666666666666,66.66666666666666,56.66666666666666,39.37777777777777,시·군 저수율 위험도 반영,시설 규모 기반 우선순위,한국농어촌공사_농업기반시설 시설제원_저수지_20250925.csv
금산군,6,하,화림,충청남도 금산군 금성면 화림리,95.0,390.0,390.0,466.0,10.0,2025-12-31,86.55555555555556,72.7,13.444444444444445,19.204248734570253,낮음,55.55555555555556,44.44444444444444,44.44444444444444,49.44444444444444,35.044444444444444,시·군 저수율 위험도 반영,시설 규모 기반 우선순위,농업기반시설_저수지_2021_v3.csv
금산군,7,하,화림,충청남도 금산군 금성면 상가리,95.3,389.68,389.68,466.0,10.28,2025-12-31,86.55555555555556,72.7,13.444444444444445,19.204248734570253,낮음,66.66666666666666,33.33333333333333,33.33333333333333,48.33333333333332,34.37777777777777,시·군 저수율 위험도 반영,시설 규모 기반 우선순위,한국농어촌공사_농업기반시설 시설제원_저수지_20250925.csv
금산군,8,하,지동,충청남도 금산군 추부면 용지리,59.0,164.0,164.0,280.0,7.0,2025-12-31,86.55555555555556,72.7,13.444444444444445,19.204248734570253,낮음,22.22222222222222,11.11111111111111,11.11111111111111,16.11111111111111,15.044444444444444,시·군 저수율 위험도 반영,시설 규모 기반 우선순위,농업기반시설_저수지_2021_v3.csv
금산군,9,하,장산,충청남도 금산군 추부면 요광리,16.4,220.0,222.0,186.0,6.2,2025-12-31,86.55555555555556,72.7,13.444444444444445,19.204248734570253,낮음,0.0,22.22222222222222,22.22222222222222,12.222222222222221,12.71111111111111,시·군 저수율 위험도 반영,시설 규모 기반 우선순위,한국농어촌공사_농업기반시설 시설제원_저수지_20250925.csv
금산군,10,하,홍도,충청남도 금산군 남일면 신정리,30.0,55.3,55.3,230.0,1.56,2025-12-31,86.55555555555556,72.7,13.444444444444445,19.204248734570253,낮음,11.11111111111111,0.0,0.0,5.0,8.377777777777778,시·군 저수율 위험도 반영,시설 규모 기반 우선순위,한국농어촌공사_농업기반시설 시설제원_저수지_20250925.csv
논산시,1,상,탑정,충청남도 논산시 가야곡면 종연리,5713.3,34940.0,34983.0,21880.0,662.0,2025-12-31,94.66,48.0,5.340000000000003,30.908296511411507,낮음,100.0,98.07692307692307,98.07692307692307,98.94230769230768,61.50138461538461,수혜면적 상위 시설 / 유효저수량 상위 시설 / 총저수량 상위 시설 / 시·군 저수율 위험도 반영,시설 규모 기반 우선순위,한국농어촌공사_농업기반시설_시설제원_저수지_2024.csv
논산시,2,상,탑정,충청남도 논산시 부적면 탑정리,5713.0,34940.0,34983.0,21880.0,662.0,2025-12-31,94.66,48.0,5.340000000000003,30.908296511411507,낮음,96.15384615384616,98.07692307692307,98.07692307692307,97.21153846153845,60.46292307692307,수혜면적 상위 시설 / 유효저수량 상위 시설 / 총저수량 상위 시설 / 시·군 저수율 위험도 반영,시설 규모 기반 우선순위,농업기반시설_저수지_2021_v3.csv
논산시,3,상,수락,충청남도 논산시 벌곡면 수락리,192.0,856.31,921.07,621.0,12.3,2025-12-31,94.66,48.0,5.340000000000003,30.908296511411507,낮음,88.46153846153845,92.3076923076923,92.3076923076923,90.57692307692308,56.48215384615385,수혜면적 상위 시설 / 유효저수량 상위 시설 / 총저수량 상위 시설 / 시·군 저수율 위험도 반영,시설 규모 기반 우선순위,한국농어촌공사_농업기반시설 시설제원_저수지_20250925.csv
논산시,4,상,가곡,충청남도 논산시 노성면 병사리,208.0,695.0,726.0,500.0,26.0,2025-12-31,94.66,48.0,5.340000000000003,30.908296511411507,낮음,92.3076923076923,88.46153846153845,88.46153846153845,90.1923076923077,56.251384615384616,수혜면적 상위 시설 / 유효저수량 상위 시설 / 총저수량 상위 시설 / 시·군 저수율 위험도 반영,시설 규모 기반 우선순위,농업기반시설_저수지_2021_v3.csv
논산시,5,상,강청,충청남도 논산시 가야곡면 강청리,70.1,234.39,323.0,178.0,6.73,2025-12-31,94.66,48.0,5.340000000000003,30.908296511411507,낮음,80.76923076923077,76.92307692307693,80.76923076923077,79.42307692307693,49.78984615384616,수혜면적 상위 시설 / 총저수량 상위 시설 / 시·군 저수율 위험도 반영,시설 규모 기반 우선순위,한국농어촌공사_농업기반시설_시설제원_저수지_2024.csv
논산시,6,상,고내,충청남도 논산시 연무읍 고내리,77.0,230.21,235.06,199.0,6.9,2025-12-31,94.66,48.0,5.340000000000003,30.908296511411507,낮음,84.61538461538461,73.07692307692307,73.07692307692307,78.26923076923077,49.09753846153846,수혜면적 상위 시설 / 시·군 저수율 위험도 반영,시설 규모 기반 우선순위,한국농어촌공사_농업기반시설 시설제원_저수지_20250925.csv
논산시,7,중,고합,충청남도 논산시 연무읍 황화정리,64.0,273.0,277.0,152.0,5.0,2025-12-31,94.66,48.0,5.340000000000003,30.908296511411507,낮음,76.92307692307693,80.76923076923077,76.92307692307693,78.26923076923077,49.09753846153846,유효저수량 상위 시설 / 시·군 저수율 위험도 반영,시설 규모 기반 우선순위,농업기반시설_저수지_2021_v3.csv
논산시,8,중,임화,충청남도 논산시 양촌면 임화리,41.2,480.02,494.49,191.0,8.2,2025-12-31,94.66,48.0,5.340000000000003,30.908296511411507,낮음,69.23076923076923,84.61538461538461,84.61538461538461,77.6923076923077,48.751384615384616,유효저수량 상위 시설 / 총저수량 상위 시설 / 시·군 저수율 위험도 반영,시설 규모 기반 우선순위,한국농어촌공사_농업기반시설 시설제원_저수지_20250925.csv
논산시,9,중,아곡,충청남도 논산시 부적면 신교리,45.0,138.0,151.0,50.0,7.0,2025-12-31,94.66,48.0,5.340000000000003,30.908296511411507,낮음,73.07692307692307,69.23076923076923,69.23076923076923,70.96153846153845,44.712923076923076,시·군 저수율 위험도 반영,시설 규모 기반 우선순위,농업기반시설_저수지_2021_v3.csv
논산시,10,중,소룡,충청남도 논산시 연무읍 소룡리,28.0,85.0,88.0,70.0,2.0,2025-12-31,94.66,48.0,5.340000000000003,30.908296511411507,낮음,65.38461538461539,65.38461538461539,65.38461538461539,65.38461538461539,41.366769230769236,시·군 저수율 위험도 반영,시설 규모 기반 우선순위,농업기반시설_저수지_2021_v3.csv
