표준코드,facility_name,address,benefit_area,total_capacity,effective_capacity,basin_area,full_water_area,start_year,completion_year,source_file,본부,지사,sigungu
4418010014,구수,충청남도 보령시 주포면 마강리,80.0,230.0,228.0,169.0,10.0,1941-01-01,1942-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010019,수지,충청남도 보령시 주포면 연지리,51.0,169.0,160.0,114.0,6.0,1945-01-01,1946-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010040,진죽,충청남도 보령시 청소면 진죽리,101.0,688.0,654.0,557.0,45.0,1945-04-05,1946-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010041,신송,충청남도 보령시 청소면 신송리,41.0,123.0,123.0,36.0,6.0,1959-01-01,1960-12-30,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010042,죽림,충청남도 보령시 청소면 죽림리,43.0,177.0,168.0,163.0,4.0,1946-04-10,1947-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010045,성연,충청남도 보령시 청소면 성연리,276.0,1789.0,1789.0,750.0,25.0,1972-01-01,1977-01-01,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010046,야현,충청남도 보령시 청소면 야현리,3.0,14.0,14.0,52.0,1.0,1945-01-01,1946-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010047,장곡,충청남도 보령시 청소면 장곡리,17.0,58.0,50.0,360.0,5.0,1945-05-09,1946-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010048,월티,충청남도 보령시 청라면 나원리,98.0,522.0,496.0,344.0,9.0,1960-03-03,1961-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010051,의평,충청남도 보령시 청라면 의평리,26.0,168.0,160.0,165.0,4.0,1961-03-01,1961-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010052,청천,충청남도 보령시 죽정동,2638.0,20800.0,20753.0,7010.0,265.0,1952-01-01,1962-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010058,옥계,충청남도 보령시 청라면 옥계리,115.0,904.0,829.0,220.0,10.0,1990-11-21,1996-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010060,황룡,충청남도 보령시 청라면 황룡리,52.0,285.0,267.0,135.0,4.0,1990-11-21,1996-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010061,장전,충청남도 보령시 청라면 장현리,135.0,744.0,707.0,436.0,11.0,1957-01-01,1961-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010066,대야,충청남도 보령시 남포면 제석리,5.0,16.0,16.0,10.0,1.0,1945-01-01,1946-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010069,옥서,충청남도 보령시 남포면 옥서리,226.0,1420.0,1350.0,800.0,29.0,1956-01-01,1961-01-01,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010070,신흥2,충청남도 보령시 남포면 신흥리,5.0,1.0,1.0,60.0,1.0,1946-01-01,1947-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010071,신흥1,충청남도 보령시 남포면 신흥리,6.0,11.0,10.0,70.0,2.0,1954-01-01,1955-12-30,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010073,양기1,충청남도 보령시 남포면 양기리,25.0,70.0,67.0,85.0,3.0,1960-10-17,1961-12-29,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010078,용제,충청남도 보령시 주산면 야룡리,50.0,205.0,195.0,188.0,9.0,1945-01-01,1947-12-30,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010082,신구,충청남도 보령시 주산면 신구리,75.0,411.0,404.0,257.0,10.0,1956-04-04,1957-12-17,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010084,유곡,충청남도 보령시 주산면 유곡리,18.0,110.0,110.0,108.0,5.0,1945-01-02,1948-12-30,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010090,삼곡2,충청남도 보령시 주산면 삼곡리,20.0,6.0,6.0,27.0,1.0,1945-01-01,1948-01-01,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010091,삼곡1,충청남도 보령시 주산면 삼곡리,26.0,8.0,8.0,61.0,1.0,1949-01-01,1952-12-30,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010105,은포,충청남도 보령시 주교면 은포리,13.0,64.0,64.0,191.0,5.0,1946-07-26,1947-12-30,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010106,해창,충청남도 보령시 주교면 관창리,60.0,96.0,96.0,19.0,5.0,1946-03-05,1947-12-30,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010107,내현,충청남도 보령시 청라면 음현리,130.0,834.0,758.0,260.0,13.0,2000-11-27,2005-12-20,농업기반시설_저수지_2021_v3.csv,,,보령시
4420010001,마산,충청남도 아산시 방축동,149.0,2560.0,2560.0,1776.0,91.0,1926-01-01,1928-03-31,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010006,가혜,충청남도 아산시 염치읍 동정리,593.0,3502.0,3494.0,1588.0,81.0,1946-01-01,1950-03-30,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010010,궁평,충청남도 아산시 송악면 궁평리,1108.0,6717.0,6717.0,4333.0,112.0,1952-11-15,1961-12-30,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010011,수철,충청남도 아산시 배방읍 수철리,106.0,354.0,353.0,442.0,8.0,1976-12-02,1978-11-30,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010026,동천,충청남도 아산시 음봉면 신수리,18.0,91.0,90.0,107.0,3.0,1957-05-20,1960-12-31,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010027,신정,충청남도 아산시 음봉면 신정리,31.0,134.0,132.0,80.0,6.0,1957-05-20,1960-12-30,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010029,신휴,충청남도 아산시 음봉면 신휴리,218.0,1096.0,1090.0,842.0,53.0,1944-11-01,1954-03-31,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010031,월랑,충청남도 아산시 음봉면 월랑리,135.0,528.0,524.0,421.0,22.0,1957-05-20,1960-12-31,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010032,동암,충청남도 아산시 음봉면 동암리,63.0,387.0,387.0,234.0,12.0,1957-05-20,1960-12-31,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010033,봉재,충청남도 아산시 둔포면 봉재리,389.0,1339.0,1338.0,793.0,46.0,1942-12-01,1944-03-25,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010036,상성,충청남도 아산시 영인면 상성리,253.0,1112.0,1112.0,481.0,35.0,1955-01-01,1958-06-30,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010038,신봉,충청남도 아산시 영인면 신봉리,56.0,161.0,158.0,228.0,8.0,1956-01-01,1958-12-31,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010039,성내,충청남도 아산시 영인면 성내리,334.0,1321.0,1033.0,640.0,42.0,1952-01-01,1958-12-31,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010040,문방,충청남도 아산시 인주면 문방리,61.0,201.0,198.0,228.0,17.0,1952-01-01,1952-05-30,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010041,냉정,충청남도 아산시 인주면 냉정리,326.0,940.0,940.0,535.0,26.0,1940-01-01,1941-03-31,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010042,죽산,충청남도 아산시 선장면 죽산리,128.0,621.0,615.0,143.0,24.0,1942-01-01,1942-12-26,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010045,도고,충청남도 아산시 도고면 석당리,841.0,4294.0,4278.0,2097.0,97.0,1928-01-01,1929-11-30,농업기반시설_저수지_2021_v3.csv,,,아산시
4420010048,신창,충청남도 아산시 신창면 오목리,97.0,771.0,771.0,480.0,34.0,1950-01-01,1954-03-31,농업기반시설_저수지_2021_v3.csv,,,아산시
4421010002,잠홍,충청남도 서산시 음암면 부산리,363.0,1509.0,1485.0,1129.0,69.0,1951-11-05,1958-12-31,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010005,대산,충청남도 서산시 대산읍 대로리,102.0,491.0,408.0,335.0,15.0,1976-01-01,1978-01-01,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010014,모월,충청남도 서산시 인지면 산동리,109.0,601.0,601.0,262.0,31.0,1978-01-01,1982-01-01,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010017,풍전,충청남도 서산시 인지면 풍전리,655.0,2623.0,2621.0,1110.0,70.0,1942-01-21,1944-12-29,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010018,강수,충청남도 서산시 부석면 강수리,37.0,96.0,96.0,140.0,4.0,1957-04-08,1957-12-08,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010028,마룡,충청남도 서산시 부석면 마룡리,40.0,350.0,346.0,114.0,20.0,1955-01-01,1961-01-01,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010036,중왕,충청남도 서산시 지곡면 중왕리,204.0,1138.0,1120.0,910.0,51.0,1986-09-04,1996-12-01,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010037,지곡,충청남도 서산시 지곡면 도성리,45.0,307.0,307.0,135.0,15.0,1946-08-30,1954-07-01,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010039,고남,충청남도 서산시 성연면 고남리,93.0,1073.0,1073.0,430.0,20.0,1965-01-01,1968-01-01,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010042,성암,충청남도 서산시 음암면 탑곡리,624.0,3157.0,3074.0,1936.0,104.0,1963-07-29,1966-12-31,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010043,신창,충청남도 서산시 운산면 신창리,189.0,1835.0,1787.0,440.0,19.0,1976-04-01,1978-06-01,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010044,용현,충청남도 서산시 운산면 용현리,33.0,357.0,357.0,123.0,7.0,1973-04-01,1974-06-01,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010045,고풍,충청남도 서산시 운산면 고풍리,1294.0,8360.0,7822.0,2590.0,62.0,1967-04-05,1975-12-31,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010052,산수,충청남도 서산시 해미면 산수리,639.0,3445.0,3316.0,1706.0,44.0,1953-03-04,1962-12-31,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010053,황락,충청남도 서산시 해미면 황락리,77.0,1039.0,1039.0,420.0,11.0,1985-09-30,1991-11-30,농업기반시설_저수지_2021_v3.csv,,,서산시
4421010054,신송,충청남도 서산시 고북면 신송리,407.0,3220.0,3220.0,680.0,48.0,1978-11-10,1984-12-31,농업기반시설_저수지_2021_v3.csv,,,서산시
4423010001,소룡,충청남도 논산시 연무읍 소룡리,28.0,88.0,85.0,70.0,2.0,1961-01-01,1963-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010002,양지,충청남도 논산시 연무읍 양지리,8.0,10.0,10.0,50.0,0.0,1965-01-01,1966-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010005,고내,충청남도 논산시 연무읍 고내리,77.0,235.0,230.0,199.0,7.0,1956-01-01,1956-03-28,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010007,고합,충청남도 논산시 연무읍 황화정리,64.0,277.0,273.0,152.0,5.0,1957-01-01,1957-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010010,안심,충청남도 논산시 연무읍 안심리,5.0,10.0,10.0,40.0,2.0,1911-01-01,1913-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010018,소곡,충청남도 논산시 노성면 송당리,18.0,35.0,27.0,120.0,3.0,1953-01-01,1957-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010020,월명,충청남도 논산시 노성면 송당리,25.0,42.0,37.0,67.0,2.0,1953-03-20,1957-03-20,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010022,가곡,충청남도 논산시 노성면 병사리,208.0,726.0,695.0,500.0,26.0,1953-01-01,1955-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010030,지경,충청남도 논산시 상월면 지경리,11.0,17.0,15.0,50.0,3.0,1945-01-01,1945-12-31,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010031,석종,충청남도 논산시 상월면 석종리,9.0,19.0,18.0,39.0,1.0,1940-01-01,1940-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010037,띠울,충청남도 논산시 상월면 대명리,4.0,6.0,6.0,40.0,1.0,1940-01-01,1940-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010041,한천,충청남도 논산시 상월면 한천리,7.0,1.0,1.0,50.0,1.0,1945-01-01,1945-12-31,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010042,수정골,충청남도 논산시 상월면 숙진리,5.0,11.0,10.0,80.0,3.0,1945-01-01,1945-12-10,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010043,도정골,충청남도 논산시 상월면 숙진리,5.0,2.0,2.0,15.0,1.0,1945-01-01,1945-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010044,신풍,충청남도 논산시 부적면 신풍리,3.0,7.0,7.0,43.0,1.0,1965-01-01,1965-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010045,탑정,충청남도 논산시 부적면 탑정리,5713.0,34983.0,34940.0,21880.0,662.0,1941-03-13,1944-08-31,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010046,아곡,충청남도 논산시 부적면 신교리,45.0,151.0,138.0,50.0,7.0,1910-01-03,1910-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010047,평촌,충청남도 논산시 부적면 반송리,10.0,19.0,15.0,15.0,2.0,1910-08-20,1911-03-22,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010055,양동,충청남도 논산시 연산면 신양리,3.0,1.0,1.0,3.0,0.0,1945-01-01,1945-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010067,임화,충청남도 논산시 양촌면 임화리,41.0,494.0,480.0,191.0,8.0,1976-01-01,1979-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
