저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,75.1,20260522,충청남도 논산시,4423010045,28.49
예당(대흥),86,20260522,충청남도 예산군,4481010021,21.88
청천,76.4,20260522,충청남도 보령시,4418010052,38.33
삽교호,75.7,20260522,충청남도 당진시,4483090002,1.71
대호호,82.2,20260522,충청남도 서산시,4421090006,-0.79
간월호,140.2,20260522,충청남도 서산시,4421090007,-1
