저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,60.2,20260711,충청남도 논산시,4423010045,27.46
예당(대흥),57.8,20260711,충청남도 예산군,4481010021,20.49
청천,53.8,20260711,충청남도 보령시,4418010052,36.23
삽교호,54.8,20260711,충청남도 당진시,4483090002,0.97
대호호,68.1,20260711,충청남도 서산시,4421090006,-1.03
간월호,108.2,20260711,충청남도 서산시,4421090007,-1.55
