저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,52.1,20260808,충청남도 논산시,4423010045,26.82
예당(대흥),51.3,20260808,충청남도 예산군,4481010021,20.13
청천,58.2,20260808,충청남도 보령시,4418010052,36.66
삽교호,56.7,20260808,충청남도 당진시,4483090002,1.04
대호호,61.5,20260808,충청남도 서산시,4421090006,-1.2
간월호,112.6,20260808,충청남도 서산시,4421090007,-1.47
