저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,61.1,20260801,충청남도 논산시,4423010045,27.53
예당(대흥),61.8,20260801,충청남도 예산군,4481010021,20.7
청천,68.9,20260801,충청남도 보령시,4418010052,37.67
삽교호,63.2,20260801,충청남도 당진시,4483090002,1.27
대호호,73,20260801,충청남도 서산시,4421090006,-0.94
간월호,119.2,20260801,충청남도 서산시,4421090007,-1.35
