기준일자,시도,시군,행정구역코드,가뭄현황,가뭄전망-1,가뭄전망-2,가뭄전망-3
2022-01-01,경북,경주시,47130,0,0,0,0
2022-01-01,경북,김천시,47150,0,0,0,0
2022-01-01,경북,안동시,47170,0,0,0,0
2022-01-01,경북,구미시,47190,0,0,0,0
2022-01-01,경북,영주시,47210,0,0,0,0
2022-01-01,경북,영천시,47230,0,0,0,0
2022-01-01,경북,상주시,47250,0,0,0,0
2022-01-01,경북,문경시,47280,0,0,0,0
2022-01-01,경북,경산시,47290,0,0,0,0
2022-01-01,경북,군위군,47720,0,0,0,0
2022-01-01,경북,의성군,47730,0,0,0,0
2022-01-01,경북,청송군,47750,0,0,0,0
2022-01-01,경북,영양군,47760,0,0,0,0
2022-01-01,경북,영덕군,47770,0,0,0,0
2022-01-01,경북,청도군,47820,0,0,0,0
2022-01-01,경북,고령군,47830,0,0,0,0
2022-01-01,경북,성주군,47840,0,0,0,0
2022-01-01,경북,칠곡군,47850,0,0,0,0
2022-01-01,경북,예천군,47900,0,0,0,0
2022-01-01,경북,봉화군,47920,0,0,0,0
2022-01-01,경북,울진군,47930,0,0,0,0
2022-01-01,경북,울릉군,47940,0,0,0,0
2022-01-01,경남,창원시,48120,0,0,0,0
2022-01-01,경남,진주시,48170,0,0,0,0
2022-01-01,경남,통영시,48220,0,0,0,0
2022-01-01,경남,사천시,48240,0,0,0,0
2022-01-01,경남,김해시,48250,0,0,0,0
2022-01-01,경남,밀양시,48270,0,0,0,0
2022-01-01,경남,거제시,48310,0,0,0,0
2022-01-01,경남,양산시,48330,0,0,0,0
2022-01-01,경남,의령군,48720,0,0,0,0
2022-01-01,경남,함안군,48730,0,0,0,0
2022-01-01,경남,창녕군,48740,0,0,0,0
2022-01-01,경남,고성군,48820,0,0,0,0
2022-01-01,경남,남해군,48840,0,0,0,0
2022-01-01,경남,하동군,48850,0,0,0,0
2022-01-01,경남,산청군,48860,0,0,0,0
2022-01-01,경남,함양군,48870,0,0,0,0
2022-01-01,경남,거창군,48880,0,0,0,0
2022-01-01,경남,합천군,48890,0,0,0,0
2022-01-01,제주,제주시,50110,0,0,0,0
2022-01-01,제주,서귀포시,50130,0,0,0,0
