저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,31.2,20260829,충청남도 논산시,4423010045,24.91
예당(대흥),57.8,20260829,충청남도 예산군,4481010021,20.49
청천,42.5,20260829,충청남도 보령시,4418010052,35
삽교호,65.9,20260829,충청남도 당진시,4483090002,1.37
대호호,69,20260829,충청남도 서산시,4421090006,-1.01
간월호,139.1,20260829,충청남도 서산시,4421090007,-0.99
