저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,77.7,20260902,충청남도 논산시,4423010045,28.65
예당(대흥),67.6,20260902,충청남도 예산군,4481010021,21
청천,59.3,20260902,충청남도 보령시,4418010052,36.77
삽교호,73.4,20260902,충청남도 당진시,4483090002,1.63
대호호,88.9,20260902,충청남도 서산시,4421090006,-0.68
간월호,136.33,20260902,충청남도 서산시,4421090007,-1.04
