#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123
# YYMMDD STN   WS    WR  WD   WS   WS  WD   WS   WS    TA    TA   TA    TA   TA    TD    TS    TG    HM    HM   HM    PV  EV_S  EV_L    FG     PA     PS     PS   PS     PS   PS   CA   SS   SS   SS    SI    SI   SI     RN     RN    RN     RN   RN     RN   RN     RN   RN     SD   SD     SD   SD    TE    TE    TE    TE    TE
#    KST  ID  AVG   DAY MAX  MAX  MAX INS  INS  INS   AVG   MAX  MAX   MIN  MIN   AVG   AVG   MIN   AVG   MIN  MIN   AVG               DUR    AVG    AVG    MAX  MAX    MIN  MIN  TOT  DAY  DUR  CMB   DAY   60M  60M    DAY    D99   DUR    60M  60M    10M  10M    POW  POW    NEW  NEW    MAX  MAX     5    10    15    30    50
#             m/s     m  16  m/s   TM  16  m/s   TM     C     C   TM     C   TM     C     C     C     %     %   TM   hPa    mm    mm    hr    hPa    hPa    hPa   TM    hPa   TM    %   hr   hr   hr         MAX   TM     mm     mm    hr     mm   TM     mm   TM     mm   TM     cm   TM     cm   TM     C     C     C     C     C
20260812  90  2.3  1949  34  4.8 1146   2  9.6 1253  22.2  25.5 1229  20.2  129  18.6  24.0  18.4  80.6  64.0  926  21.5   3.2   2.3 -9.00 1007.1 1009.1 1011.5    1 1007.5 2344  6.5  2.8 13.8 -9.0 12.85  2.74 1200    1.4   -9.0 -9.00    0.7 2208    0.4 2353   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260812  93  1.6  1348   7  4.4 1544   9  8.7 1142  23.4  28.6 1420  16.7  554  17.3  32.0  16.3  70.5  49.0 1100  19.8   6.6   4.6 -9.00  997.0 1008.0 1010.6   34 1006.1 1636  4.8 10.9 13.8 -9.0 24.44  3.01 1300   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  31.2  29.5  26.6  21.7  19.0
20260812  95  3.0  2614  11  5.5 1741  11  9.5 1059  23.5  30.0 1449  17.9  540  15.3  31.4  15.6  63.1  33.0 1206  17.5   8.8   6.2 -9.00  990.5 1008.2 1010.9    8 1005.7 1526  1.8 12.1 13.8 -9.0 26.78  3.46 1200   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260812  98  1.2  1072   9  3.0 1140   5  6.5 1131  24.6  31.7 1444  18.6  531  14.5  34.4  14.1  55.3  31.0 1121  16.6   7.4   5.2 -9.00  994.0 1007.1 1009.7    1 1004.4 1555  2.3 10.1 13.8 -9.0 25.24  3.42 1200   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260812  99  2.1  1772   9  3.8 1122   9  7.8 1628  24.2  30.8 1441  17.8  558  16.0  33.0  15.6  63.0  37.0 1235  18.3   7.8   5.5 -9.00 1004.3 1007.8 1010.1   15 1005.1 1629  2.4 10.6 13.8 -9.0 26.60  3.44 1200   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260812 100  3.2  2781   5  5.4 1904   5 10.7  415  17.7  19.5 2335  16.5  242  16.4  19.8  14.6  92.4  81.0  804  18.7   1.6   1.1 -9.00  921.9 1008.1 1011.1    1 1006.3 1814  9.4  0.0 13.7 -9.0  6.50  0.90  900    2.2   -9.0 -9.00    1.0 1755    0.6 1839   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260812 101  2.2  1867   7  5.1 1553   5  9.3 1215  23.7  28.5 1154  16.7  522  16.1  32.4  13.6  64.6  46.0 1144  18.4   7.7   5.4 -9.00  998.2 1006.8 1009.6    1 1004.7 1725  2.6 10.5 13.8 -9.0 25.92  3.59 1300   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  29.6  26.7  24.5  19.5  16.1
20260812 102  3.7  3230  11  5.8  926  11  8.8  918  24.5  28.5 1342  22.4 2023  17.2  34.6  20.0  65.4  41.0 1252  19.7   8.4   5.9 -9.00 1002.3 1006.4 1007.6    1 1005.1 1747  3.1 12.6 13.8 -9.0 28.22  3.49 1200   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260812 104  2.2  1894  32  4.1 1546  29  7.8 1345  21.2  23.5 1238  19.7  147  19.5  22.3  17.6  90.6  78.0  748  22.8   1.2   0.8 -9.00  998.9 1007.6 1010.2    1 1006.0 1809  8.6  0.0 13.8 -9.0  3.84  0.72 1200    5.2   15.3 12.08    1.5 1355    0.7 1823   -9.0   -9   -9.0   -9   -9.0   -9  25.8  25.3  23.7  18.4  15.2
20260812 105  2.2  1913  34  4.8 1259  34  9.1 1751  21.3  22.9  855  19.4  403  18.7  22.5  18.7  85.8  68.0  859  21.6   1.5   1.1 -9.00 1005.5 1008.6 1011.2    1 1007.0 1753  8.6  0.0 13.8 -9.0  3.77  0.59 1200    4.9   -9.0 -9.00    1.6 1405    0.5 1407   -9.0   -9   -9.0   -9   -9.0   -9  26.8  26.1  25.2  19.9  16.5
