#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123
# YYMMDD STN   WS    WR  WD   WS   WS  WD   WS   WS    TA    TA   TA    TA   TA    TD    TS    TG    HM    HM   HM    PV  EV_S  EV_L    FG     PA     PS     PS   PS     PS   PS   CA   SS   SS   SS    SI    SI   SI     RN     RN    RN     RN   RN     RN   RN     RN   RN     SD   SD     SD   SD    TE    TE    TE    TE    TE
#    KST  ID  AVG   DAY MAX  MAX  MAX INS  INS  INS   AVG   MAX  MAX   MIN  MIN   AVG   AVG   MIN   AVG   MIN  MIN   AVG               DUR    AVG    AVG    MAX  MAX    MIN  MIN  TOT  DAY  DUR  CMB   DAY   60M  60M    DAY    D99   DUR    60M  60M    10M  10M    POW  POW    NEW  NEW    MAX  MAX     5    10    15    30    50
#             m/s     m  16  m/s   TM  16  m/s   TM     C     C   TM     C   TM     C     C     C     %     %   TM   hPa    mm    mm    hr    hPa    hPa    hPa   TM    hPa   TM    %   hr   hr   hr         MAX   TM     mm     mm    hr     mm   TM     mm   TM     mm   TM     cm   TM     cm   TM     C     C     C     C     C
20260607 112  2.3  1961  27  4.0 1810   9  7.5  149  22.2  25.3 1711  19.4 2326  13.5  22.0  15.4  59.0  44.0  816  15.6   3.3   2.3 -9.00 1000.8 1008.7 1010.7  841 1005.6 1557  8.8  2.0 14.7 -9.0  9.49  1.28 1700    0.0    0.0  2.58    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  21.3  19.6  14.1  17.0  13.5
20260607 114  1.9  1604  14  4.0    3  18  8.7    2  22.2  25.9 1404  18.4  527  13.7  25.4  13.3  59.8  45.0  226  15.8   4.1   2.9 -9.00  991.6 1008.8 1012.1   19 1005.6 1728  8.9  2.5 14.7 -9.0 15.49  2.68 1000    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 115  4.6  3989   5  8.3 1319   5 12.4 1457  18.4  21.1  859  17.0 1629  16.4  22.8  14.2  88.8  79.0  903  18.6   1.8   1.2  7.50  985.5 1011.2 1016.0   49 1008.1 2353  7.6  1.2 14.7 -9.0  7.65  1.57  800    1.1    5.6  2.83    0.9 1603    0.4 1609   -9.0   -9   -9.0   -9   -9.0   -9  20.1  16.9  15.8  12.6  13.1
20260607 119  2.4  2055  11  4.2 1523  11  6.4 1545  22.4  24.8 1738  19.5 2335  10.9  24.7  16.2  49.4  37.0  830  13.2   3.5   2.4 -9.00 1004.0 1008.6 1010.9    1 1005.4 1701  9.4  0.5 14.6 -9.0  9.98  1.09 1100   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  22.7  19.5  17.1  13.3  12.7
20260607 121  2.0  1738   9  4.5 1524   9  8.3 1522  20.7  26.8 1213  14.4  538  13.6  28.8  11.9  65.5  44.0  858  15.6   5.2   3.6 -9.00  982.2 1009.8 1013.8    1 1007.1 1743  8.1  6.1 14.6 -9.0 21.23  3.03 1100   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 127  1.5  1260   7  3.7  231   7  6.2  223  22.6  27.7 1424  15.8  528  11.9  25.0  13.7  52.5  38.0  228  14.1   4.8   3.4 -9.00  994.8 1008.0 1011.5   19 1005.0 1756  7.5  3.3 14.6 -9.0 18.29  2.36  900   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 129  2.1  1802  32  4.8 1804  32  7.2 1801  22.3  25.2 1212  19.0 2346  12.8  26.0  15.6  56.3  43.0  908  14.8   3.7   2.6 -9.00 1005.7 1008.6 1010.2    5 1005.7 1646  9.0  1.4 14.6 -9.0 13.02  1.79 1200   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  22.3  19.5  19.4  14.2  14.8
20260607 130  1.4  1196   5  3.6 1526   5  7.0 1548  18.4  20.9  942  14.5  449  16.0  21.2  12.4  86.0  77.0  949  18.3  -9.0  -9.0 -9.00 1005.6 1011.3 1015.6    1 1008.9 2305  8.4  0.1 14.6 -9.0 -9.00 -9.00   -9    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 131  1.9  1623  11  4.3   15  14 10.0    6  24.3  28.6 1507  20.6  550  12.8  29.1  17.0  49.6  39.0   35  15.1   6.0   4.2 -9.00 1001.3 1008.0 1011.0    6 1005.1 1724  6.0  6.5 14.6 -9.0 22.51  3.37 1000    0.0    0.0  0.08    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 133  2.8  2442  14  5.9  404  16  9.9  155  23.3  28.7 1323  18.2  555  14.2  27.9  15.3  57.3  45.0  105  16.4   6.7   4.7 -9.00 1000.7 1008.5 1011.7   30 1005.8 1718  5.6  7.7 14.6 -9.0 24.40  3.45 1100   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  24.2  22.2  19.7  16.2  15.8
20260607 135  2.3  1991  11  4.9 1747   7  7.1  943  19.4  24.5 1242  13.3  531  14.2  25.0  12.0  72.5  60.0  812  16.4   3.8   2.7 -9.00  980.9 1009.1 1012.9    1 1006.7 1732  6.9  4.1 14.5 -9.0 17.52  2.95 1200    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 136  1.7  1427  11  4.3 1752  14  7.5 1411  19.7  23.3 1247  14.5  540  14.0  24.0  12.8  70.3  62.0 1558  16.1   3.0   2.1 -9.00  994.4 1010.8 1015.2    3 1008.8 1740  7.8  1.9 14.6 -9.0 11.74  1.49 1600   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 137  0.7   604  14  2.2 1742  14  5.7 1734  21.2  27.3 1418  15.7  428  15.0  28.9  11.8  68.4  54.0  852  17.2   3.6   2.5 -9.00  997.6 1008.8 1012.5    1 1006.3 1733  7.4  3.5 14.6 -9.0 17.45  2.53 1100   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 138  2.9  2541   5  6.2 1103   2 12.0 1625  19.5  20.2 1108  18.8 1539  16.8  20.8  17.7  85.1  74.0    1  19.2   1.7   1.2 -9.00 1009.2 1009.7 1014.0   13 1007.5 2314  9.3  0.0 14.5 -9.0  5.77  1.15 1300    0.9    2.5  8.00    0.6 1440    0.3 1313   -9.0   -9   -9.0   -9   -9.0   -9  21.8  18.9  17.7  15.6  15.7
20260607 140  2.1  1773  29  6.3 1903  32 11.0 1850  22.5  28.2 1230  17.2  237  14.6  27.7  12.1  62.3  48.0 1235  16.8  -9.0  -9.0 -9.00 1005.7 1009.0 1011.7    1 1006.4 1652  6.4  6.6 14.5 -9.0 -9.00 -9.00   -9   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 143  2.6  2234  11  4.4   46  11  6.9   28  20.8  22.9 1051  18.5  413  15.7  23.5  17.4  73.0  60.0    1  17.9   2.1   1.5 -9.00 1002.8 1009.1 1013.0    1 1007.3 1722  8.8  0.1 14.5 -9.0  6.33  0.87  800    0.0   -9.0  1.75    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 146  2.0  1704  27  6.5 1951  27 11.8 1947  23.6  30.1 1552  18.0  501  14.6  27.2  12.5  57.9  42.0 1526  16.6   6.6   4.7 -9.00 1000.9 1007.9 1010.5    4 1005.0 1707  5.8  6.7 14.5 -9.0 22.83  3.24 1100   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 152  2.4  2082   7  4.2 1123   5  7.9 1110  19.4  22.2 1111  17.9 2400  16.9  21.1  17.4  86.4  55.0    3  19.3   1.6   1.1 -9.00  999.4 1008.9 1013.2    1 1007.5 1854  9.3  0.2 14.5 -9.0  5.44  1.30 1100    1.1   -9.0  7.58    0.4 1251    0.3 1246   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 155  1.9  1676   5  3.8  808   7  5.9  807  22.7  25.7 1144  20.7 2349  16.4  26.0  19.3  68.3  50.0    4  18.8   2.9   2.0 -9.00 1004.4 1008.4 1012.7    1 1006.9 1637  7.6  1.6 14.5 -9.0 11.37  1.92 1100    0.0   -9.0  0.03    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 156  1.7  1512  18  4.7 2106  18  9.0 2113  23.9  29.9 1629  18.7  537  16.0  29.9  13.2  61.8  47.0 1559  18.3   5.1   3.5 -9.00  999.7 1007.7 1010.5    1 1005.3 1731  5.6  4.8 14.5 -9.0 18.90  2.78 1400   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 159  2.8  2404   7  4.1 1622   9  8.9  502  21.6  23.7 1612  20.0 2251  17.4  21.9  16.8  77.1  59.0    5  19.9   2.4   1.7 -9.00  999.9 1007.9 1012.1   14 1006.5 1843  9.1  0.2 14.4 -9.0  8.59  1.34 1000    0.2    2.2  4.22    0.2   -9    0.1   -9   -9.0   -9   -9.0   -9   -9.0   -9  22.5  20.6  19.6  16.1  16.8
20260607 162  2.2  1902   5  4.5  920   5  7.4  119  22.3  25.0 1532  19.9 2346  16.9  24.6  17.6  72.1  57.0   26  19.3   2.7   1.9 -9.00 1003.8 1007.4 1011.5    1 1006.0 1717  8.0  0.4 14.4 -9.0 10.95  1.70 1100   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 165  3.1  2664  34  6.1 1549  29  9.3 1540  23.0  28.0 1432  19.3  500  16.3  25.0  15.1  66.8  55.0 1436  18.6   6.2   4.3 -9.00 1003.1 1008.2 1010.3   36 1006.4 1713  5.9  6.7 14.4 -9.0 23.60  3.20 1100   -9.0    0.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  22.6  21.0  18.8  16.4  15.0
20260607 168  4.3  3703   9  7.7  318   9 12.4  302  22.7  26.8 1425  20.6  515  16.2  26.8  17.9  67.6  53.0   42  18.7   5.7   4.0 -9.00 1000.5 1008.1 1011.7    1 1006.7 1728  6.5  6.2 14.4 -9.0 23.41  3.48 1300   -9.0    1.7 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  23.0  20.9  19.0  16.5  16.6
20260607 169  3.7  3212  32  7.1 2126  34  9.5 2126  20.6  25.3 1530  17.2  352  15.6  26.6  16.2  74.0  44.0 1542  17.7   4.5   3.2 -9.00  999.8 1008.4 1010.5    1 1007.0 1701  7.5  4.5 14.4 -9.0 17.40  2.46 1500    0.0   -9.0  0.03   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 170  2.1  1837  18  5.5 1820  18  8.2 1816  24.0  29.3 1603  19.2   34  18.1  27.4  17.1  70.5  53.0 1225  20.9   5.0   3.5 -9.00 1004.1 1008.1 1010.8    1 1006.8 1556  7.9  4.3 14.4 -9.0 19.08  2.78 1200   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 172  2.2  1884  29  6.0 1959  29  9.2 1950  21.9  28.8 1440  15.9  500  15.3  25.3  11.6  69.5  43.0 1432  17.4   6.0   4.2 -9.00 1001.8 1007.9 1010.2   26 1005.5 1652  6.9  4.5 14.5 -9.0 21.45  3.27 1300    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 174  1.8  1531  29  4.1 2400  20  6.8 1256 -99.0  28.6 1050  20.4 2400 -99.0  26.5  18.8  -9.0  46.0 1123  -9.0  -9.0  -9.0 -9.00   -9.0   -9.0 1007.0 2327 1004.6 1429  6.9  1.5 14.4 -9.0 -9.00 -9.00  900    0.1   -9.0 -9.00    0.1   -9    0.1   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 177  1.4  1209  25  4.3 1902  25  7.9 1853  22.8  26.6 1623  17.7  545  14.9  27.6  14.0  62.6  49.0 1019  17.0   4.3   3.0 -9.00 1004.0 1007.2 1009.4    1 1004.2 1656  7.8  2.9 14.6 -9.0 16.36  2.19  900    0.0   -9.0  0.58    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 181  2.0  1732  16  4.4 1826  16  7.2 1802  22.7  27.9 1356  16.0  528  14.0  27.2  11.9  59.4  45.0  217  16.2   5.8   4.1 -9.00 1004.8 1008.7 1011.7    8 1005.7 1722  6.6  6.5 14.6 -9.0 22.39  3.22 1100    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 184  2.8  2440   7  5.0  941   7  8.0  122  21.9  23.5 1749  21.1  559  18.9  23.2  19.9  83.5  71.0 1602  21.8   2.0   1.4 -9.00 1004.8 1007.2 1009.9    1 1006.2  554  8.1  0.5 14.3 -9.0  5.63  0.93 1700    0.1    0.5  7.42    0.1   -9    0.1   -9   -9.0   -9   -9.0   -9   -9.0   -9  23.5  21.7  21.4  18.5  16.6
20260607 185  2.8  2452  34  6.2 1651  34  9.3 1653  22.1  25.7 1119  20.1   42  18.9  25.3  18.9  82.5  71.0 1111  21.9   4.8   3.3 -9.00  998.7 1006.9 1009.3    1 1005.7  608  7.3  6.0 14.3 -9.0 20.06  3.26 1100    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 188  2.5  2123   2  4.4 1107   5  8.2 1021  21.4  22.1 1525  20.8 2349  20.2  22.1  20.0  93.1  86.0 1532  23.6  -9.0  -9.0 -9.00 1005.6 1008.0 1010.7    3 1006.9  453  8.8  0.0 14.3 -9.0 -9.00 -9.00   -9    4.8   -9.0 -9.00    2.0 1034    0.6 1116   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 189  2.9  2505   7  4.9 1236   7 10.3 1655  23.3  26.9 1256  21.6  144  19.5  24.5  20.6  79.9  67.0 1256  22.7   4.3   3.0 -9.00 1001.6 1007.5 1010.1    1 1006.5  435  7.9  2.0 14.3 -9.0 16.41  2.98 1200    0.4    0.0  3.85    0.3    6    0.2   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 192  0.9   819  34  2.7 1122   7  6.3 1508  21.9  26.9 1312  15.7  251  16.3  26.2  14.6  71.5  60.0 1016  18.7   4.3   3.0 -9.00 1005.1 1008.5 1012.7    1 1006.8 1626  7.3  3.0 14.5 -9.0 18.30  3.15 1000   -9.0    0.2 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 201  1.6  1357   5  3.3  848  36  7.0 1817  19.8  24.2 1547  15.2 2340  13.8  20.8  10.2  69.6  52.0    1  15.8  -9.0  -9.0 -9.00 1004.3 1009.8 1012.1  831 1007.5 1505  6.9  2.2 14.7 -9.0 -9.00 -9.00   -9    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 202  1.3  1099  16  2.5   52  16  4.3 1712  21.8  25.3 1812  18.1  530  13.9  25.1  16.0  62.1  45.0 1116  16.0  -9.0  -9.0 -9.00 1003.7 1009.2 1012.4    1 1006.0 1739  9.0  0.6 14.7 -9.0 -9.00 -9.00   -9    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 203  0.8   652   5  1.8 1024   5  4.2 1231  21.5  25.3 1249  16.7  545  14.8  26.3  13.8  67.1  47.0  225  17.1  -9.0  -9.0 -9.00 1000.2 1009.4 1012.4    1 1006.3 1701  8.8  0.4 14.6 -9.0 -9.00 -9.00   -9    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
