저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,42,20260622,충청남도 논산시,4423010045,25.96
예당(대흥),49.7,20260622,충청남도 예산군,4481010021,20.04
청천,43.8,20260622,충청남도 보령시,4418010052,35.15
삽교호,80.2,20260622,충청남도 당진시,4483090002,1.86
대호호,67,20260622,충청남도 서산시,4421090006,-1.06
간월호,113.1,20260622,충청남도 서산시,4421090007,-1.46
