저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,37.3,20260820,충청남도 논산시,4423010045,25.52
예당(대흥),46.6,20260820,충청남도 예산군,4481010021,19.85
청천,47.3,20260820,충청남도 보령시,4418010052,35.53
삽교호,57,20260820,충청남도 당진시,4483090002,1.05
대호호,55.7,20260820,충청남도 서산시,4421090006,-1.35
간월호,114.3,20260820,충청남도 서산시,4421090007,-1.44
