저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,65.9,20260725,충청남도 논산시,4423010045,27.87
예당(대흥),64.7,20260725,충청남도 예산군,4481010021,20.85
청천,77.9,20260725,충청남도 보령시,4418010052,38.46
삽교호,63.7,20260725,충청남도 당진시,4483090002,1.29
대호호,85.1,20260725,충청남도 서산시,4421090006,-0.74
간월호,124.7,20260725,충청남도 서산시,4421090007,-1.25
