저수지 이름,저수율,측정날짜,저수지 위치,저수지 코드,저수지 수위
탑정,38.7,20260617,충청남도 논산시,4423010045,25.65
예당(대흥),42.4,20260617,충청남도 예산군,4481010021,19.59
청천,43.6,20260617,충청남도 보령시,4418010052,35.12
삽교호,55.1,20260617,충청남도 당진시,4483090002,0.98
대호호,55.3,20260617,충청남도 서산시,4421090006,-1.36
간월호,91.86,20260617,충청남도 서산시,4421090007,-1.85
