collection_date_kst,source,main_url,sigungu_url,rvow_url,query_date,monthday,term,sigungu_code_count,result_rows,success_rows,crosscheck_rows,oldam_crosscheck_rows,raw_json_path,status,logged_at_kst
20260528,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260528,528,0,15,15,15,15,5,data\raw\live_snapshots\20260528\adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-05-28 20:35:29
20260528,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260528,528,0,15,15,15,15,5,data\raw\live_snapshots\20260528\adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-05-28 20:36:49
20260528,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260528,528,0,15,15,15,15,5,data/raw/live_snapshots/20260528/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-05-28 20:52:26
20260529,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260529,529,0,15,15,15,15,5,data/raw/live_snapshots/20260529/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-05-29 10:58:28
20260530,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260530,530,0,15,15,15,15,5,data/raw/live_snapshots/20260530/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-05-30 10:53:57
20260601,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260601,601,0,15,15,15,15,5,data/raw/live_snapshots/20260601/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-01 11:15:36
20260603,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260603,603,0,15,15,15,15,5,data/raw/live_snapshots/20260603/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-03 11:34:07
20260605,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260605,605,0,15,15,15,15,5,data/raw/live_snapshots/20260605/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-05 11:05:29
20260606,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260606,606,0,15,15,15,15,5,data/raw/live_snapshots/20260606/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-06 10:56:49
20260610,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260610,610,0,15,15,15,15,5,data/raw/live_snapshots/20260610/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-10 11:05:08
20260611,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260611,611,0,15,15,15,15,5,data/raw/live_snapshots/20260611/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-11 11:16:35
20260612,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260612,612,0,15,15,15,15,5,data/raw/live_snapshots/20260612/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-12 11:12:20
20260615,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260615,615,0,15,15,15,15,5,data/raw/live_snapshots/20260615/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-15 11:31:10
20260619,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260619,619,0,15,15,15,15,5,data/raw/live_snapshots/20260619/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-19 11:45:37
20260626,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260626,626,0,15,15,15,15,5,data/raw/live_snapshots/20260626/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-26 11:03:33
20260628,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260628,628,0,15,15,15,15,5,data/raw/live_snapshots/20260628/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-28 11:08:12
20260629,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260629,629,0,15,15,15,15,5,data/raw/live_snapshots/20260629/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-06-29 11:08:37
20260704,ADMS_MYAREA_RESERVOIR_SUPPORT,https://adms.ekr.or.kr/page/myareainfo.do,https://adms.ekr.or.kr/common/retrieveSiGunCd.do,https://adms.ekr.or.kr/droughtInfo/retrieveDroughtMapPaddyClickMyareaSigunTotal.do,20260704,704,0,15,15,15,15,5,data/raw/live_snapshots/20260704/adms_reservoir_myarea_sigungu_raw.json,SUCCESS,2026-07-04 10:44:08
