category_code,category_name,relative_path,file_name,extension,size_mb,modified_time,preview_info,columns_preview,zip_file_count,zip_preview,error
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 가뭄지도 정보\한국농어촌공사_저수율지도 정보_2019년4분기_cng.csv,한국농어촌공사_저수율지도 정보_2019년4분기_cng.csv,.csv,0.011,2026-05-27 20:27:05,cp949,시도 | 시군 | 시설개수 | 유역면적(ha) | 수혜면적(ha) | 유효저수량(ha) | 저수율 | 평년 | 대비 | 단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 가뭄지도 정보\한국농어촌공사_저수율지도 정보_2021년 1분기_cng.csv,한국농어촌공사_저수율지도 정보_2021년 1분기_cng.csv,.csv,0.011,2026-05-27 20:27:06,cp949,시도 | 시군 | 시설개수 | 유역면적(ha) | 수혜면적(ha) | 유효저수량(ha) | 저수율 | 평년 | 대비 | 단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 가뭄지도 정보\한국농어촌공사_저수율지도 정보_cng_2020년 1분기.csv,한국농어촌공사_저수율지도 정보_cng_2020년 1분기.csv,.csv,0.008,2026-05-27 20:27:05,cp949,시도 | 시군 | 시설개수 | 유역면적(ha) | 수혜면적(ha) | 유효저수량(ha) | 저수율 | 평년 | 대비 | 단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 가뭄지도 정보\한국농어촌공사_저수율지도 정보_cng_2020년 2분기.csv,한국농어촌공사_저수율지도 정보_cng_2020년 2분기.csv,.csv,0.008,2026-05-27 20:27:05,cp949,시도 | 시군 | 시설개수 | 유역면적(ha) | 수혜면적(ha) | 유효저수량(ha) | 저수율 | 평년 | 대비 | 단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 가뭄지도 정보\한국농어촌공사_저수율지도 정보_cng_2020년 3분기.csv,한국농어촌공사_저수율지도 정보_cng_2020년 3분기.csv,.csv,0.008,2026-05-27 20:27:05,cp949,시도 | 시군 | 시설개수 | 유역면적(ha) | 수혜면적(ha) | 유효저수량(ha) | 저수율 | 평년 | 대비 | 단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 가뭄지도 정보\한국농어촌공사_저수율지도 정보_cng_2020년 4분기.csv,한국농어촌공사_저수율지도 정보_cng_2020년 4분기.csv,.csv,0.008,2026-05-27 20:27:06,cp949,시도 | 시군 | 시설개수 | 유역면적(ha) | 수혜면적(ha) | 유효저수량(ha) | 저수율 | 평년 | 대비 | 단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 가뭄지도 정보\한국농어촌공사_저수율지도 정보_cng_2022년 1분기.csv,한국농어촌공사_저수율지도 정보_cng_2022년 1분기.csv,.csv,0.009,2026-05-27 20:27:05,cp949,시도 | 시군 | 시설개수 | 유역면적(ha) | 수혜면적(ha) | 유효저수량(ha) | 저수율 | 평년 | 대비 | 단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 가뭄지도 정보\한국농어촌공사_저수율지도 정보_cng_2022년 2분기.csv,한국농어촌공사_저수율지도 정보_cng_2022년 2분기.csv,.csv,0.009,2026-05-27 20:27:06,cp949,시도 | 시군 | 시설개수 | 유역면적(ha) | 수혜면적(ha) | 유효저수량(ha) | 저수율 | 평년 | 대비 | 단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 가뭄지도 정보\한국농어촌공사_저수율지도_2018년4분기.csv,한국농어촌공사_저수율지도_2018년4분기.csv,.csv,0.011,2026-05-27 20:27:05,cp949,시도 | 시군 | 시설(개수) | 유역면적(ha) | 수혜면적(ha) | 유효저수량(ha) | 저수율 | 평년 | 대비 | 단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 논가뭄지도\tbl_drought_paddy_map_논가뭄지도(농림부)수정정보_최종2022.csv,tbl_drought_paddy_map_논가뭄지도(농림부)수정정보_최종2022.csv,.csv,1.891,2026-05-27 20:27:06,cp949,기준일자 | 표준코드 | 저수율 | 평년 | 평년대비 | 가뭄단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 논가뭄지도\논가뭄지도(tbl_drought_paddy_map)_2023.csv,논가뭄지도(tbl_drought_paddy_map)_2023.csv,.csv,2.874,2026-05-27 20:27:06,cp949,기준일자 | 시도명 | 시군명 | 표준코드 | 저수율 | 평년 | 평년대비 | 가뭄단계,,,
04_weather_drought,④ 시·군별 강우량/가뭄 관련 데이터,data\raw\04_weather_drought\한국농어촌공사 논가뭄지도\한국농어촌공사_논가뭄지도_20241231.csv,한국농어촌공사_논가뭄지도_20241231.csv,.csv,2.88,2026-05-27 20:27:06,cp949,기준일자 | 시도명 | 시군명 | 시군코드 | 저수율(퍼센트) | 평년(퍼센트) | 평년대비(퍼센트) | 가뭄단계,,,
05_agri_stats,⑤ 농축어업 통계,data\raw\05_agri_stats\시군별_농가_및_농가인구.xlsx,시군별_농가_및_농가인구.xlsx,.xlsx,0.012,2026-05-27 20:27:04,데이터,시점 | 시도별(1) | 시도별(2) | 농가 (호) | 농가인구 (명) | 남 (명) | 여 (명),,,
